,asset_name,date,opening_value,closing_value,period_yield
3148,Fenntartható növekedés részvény eszk.,2025-12-05,3.1895,3.1998,0.0033
3149,Globális egészségügyi részvény eszk.,2025-12-05,3.5708,3.5707,0.0
3150,Globális növekedési részvény eszközalap,2025-12-05,2.1681,2.1708,0.0012
3151,Kiegyensúlyozott vegyes eszközalap - D,2025-12-05,1.4387,1.4409,0.0015
3152,Latin-amerikai részvény eszközalap,2025-12-05,1.273,1.253,-0.0157
3153,Magas kötvény arányú vegyes eszk. - D,2025-12-05,1.1173,1.1178,0.0004
3154,Magas védelmû vegyes eszközalap,2025-12-05,1.1042,1.1043,0.0001
3155,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-05,3.1511,3.1728,0.0069
3156,Nyersanyagpiaci részvény eszközalap,2025-12-05,1.4184,1.4276,0.0065
3157,Presztízs- és luxusmárkák rv. ea.,2025-12-05,3.6772,3.6691,-0.0022
3158,USA részvény eszközalap,2025-12-05,4.6378,4.6625,0.0053
3159,Ázsia kötvény eszközalap,2025-12-05,2.2576,2.2605,0.0013
3160,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-08,0.9541,0.9541,0.0
3161,Euró likviditás eszközalap - D,2025-12-08,0.9255,0.9255,0.0
3162,Európai ingatlancégek részv. eszközalap,2025-12-08,1.8189,1.8189,0.0
3163,Európai kötvény eszközalap - D,2025-12-08,1.2315,1.2315,0.0
3164,Európai részvény eszközalap,2025-12-08,2.6847,2.6847,0.0
3165,Európai vállalati kötvény eszközalap,2025-12-08,1.3263,1.3263,0.0
3166,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-08,1.1497,1.1497,0.0
3167,Fejlõdõ ázsiai részvény eszközalap,2025-12-08,2.4136,2.4136,0.0
3168,Fenntartható növekedés részvény eszk.,2025-12-08,3.1998,3.1998,0.0
3169,Globális egészségügyi részvény eszk.,2025-12-08,3.5707,3.5707,0.0
3170,Globális növekedési részvény eszközalap,2025-12-08,2.1708,2.1708,0.0
3171,Kiegyensúlyozott vegyes eszközalap - D,2025-12-08,1.4409,1.4409,0.0
3172,Latin-amerikai részvény eszközalap,2025-12-08,1.253,1.253,0.0
3173,Magas kötvény arányú vegyes eszk. - D,2025-12-08,1.1178,1.1178,0.0
3174,Magas védelmû vegyes eszközalap,2025-12-08,1.1043,1.1043,0.0
3175,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-08,3.1728,3.1728,0.0
3176,Nyersanyagpiaci részvény eszközalap,2025-12-08,1.4276,1.4276,0.0
3177,Presztízs- és luxusmárkák rv. ea.,2025-12-08,3.6691,3.6691,0.0
3178,USA részvény eszközalap,2025-12-08,4.6625,4.6625,0.0
3179,Ázsia kötvény eszközalap,2025-12-08,2.2605,2.2605,0.0
3180,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-08,0.9541,0.9541,0.0
3181,Euró likviditás eszközalap - D,2025-12-08,0.9255,0.9255,0.0
3182,Európai ingatlancégek részv. eszközalap,2025-12-08,1.8189,1.8189,0.0
3183,Európai kötvény eszközalap - D,2025-12-08,1.2315,1.2315,0.0
3184,Európai részvény eszközalap,2025-12-08,2.6847,2.6847,0.0
3185,Európai vállalati kötvény eszközalap,2025-12-08,1.3263,1.3263,0.0
3186,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-08,1.1497,1.1497,0.0
3187,Fejlõdõ ázsiai részvény eszközalap,2025-12-08,2.4136,2.4136,0.0
3188,Fenntartható növekedés részvény eszk.,2025-12-08,3.1998,3.1998,0.0
3189,Globális egészségügyi részvény eszk.,2025-12-08,3.5707,3.5707,0.0
3190,Globális növekedési részvény eszközalap,2025-12-08,2.1708,2.1708,0.0
3191,Kiegyensúlyozott vegyes eszközalap - D,2025-12-08,1.4409,1.4409,0.0
3192,Latin-amerikai részvény eszközalap,2025-12-08,1.253,1.253,0.0
3193,Magas kötvény arányú vegyes eszk. - D,2025-12-08,1.1178,1.1178,0.0
3194,Magas védelmû vegyes eszközalap,2025-12-08,1.1043,1.1043,0.0
3195,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-08,3.1728,3.1728,0.0
3196,Nyersanyagpiaci részvény eszközalap,2025-12-08,1.4276,1.4276,0.0
3197,Presztízs- és luxusmárkák rv. ea.,2025-12-08,3.6691,3.6691,0.0
3198,USA részvény eszközalap,2025-12-08,4.6625,4.6625,0.0
3199,Ázsia kötvény eszközalap,2025-12-08,2.2605,2.2605,0.0
3200,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-08,0.9541,0.9541,0.0
3201,Euró likviditás eszközalap - D,2025-12-08,0.9255,0.9255,0.0
3202,Európai ingatlancégek részv. eszközalap,2025-12-08,1.8189,1.8189,0.0
3203,Európai kötvény eszközalap - D,2025-12-08,1.2315,1.2315,0.0
3204,Európai részvény eszközalap,2025-12-08,2.6847,2.6847,0.0
3205,Európai vállalati kötvény eszközalap,2025-12-08,1.3263,1.3263,0.0
3206,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-08,1.1497,1.1497,0.0
3207,Fejlõdõ ázsiai részvény eszközalap,2025-12-08,2.4136,2.4136,0.0
3208,Fenntartható növekedés részvény eszk.,2025-12-08,3.1998,3.1998,0.0
3209,Globális egészségügyi részvény eszk.,2025-12-08,3.5707,3.5707,0.0
3210,Globális növekedési részvény eszközalap,2025-12-08,2.1708,2.1708,0.0
3211,Kiegyensúlyozott vegyes eszközalap - D,2025-12-08,1.4409,1.4409,0.0
3212,Latin-amerikai részvény eszközalap,2025-12-08,1.253,1.253,0.0
3213,Magas kötvény arányú vegyes eszk. - D,2025-12-08,1.1178,1.1178,0.0
3214,Magas védelmû vegyes eszközalap,2025-12-08,1.1043,1.1043,0.0
3215,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-08,3.1728,3.1728,0.0
3216,Nyersanyagpiaci részvény eszközalap,2025-12-08,1.4276,1.4276,0.0
3217,Presztízs- és luxusmárkák rv. ea.,2025-12-08,3.6691,3.6691,0.0
3218,USA részvény eszközalap,2025-12-08,4.6625,4.6625,0.0
3219,Ázsia kötvény eszközalap,2025-12-08,2.2605,2.2605,0.0
3220,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-09,0.9508,0.95,-0.0008
3221,Euró likviditás eszközalap - D,2025-12-09,0.9244,0.9246,0.0003
3222,Európai ingatlancégek részv. eszközalap,2025-12-09,1.7926,1.7823,-0.0058
3223,Európai kötvény eszközalap - D,2025-12-09,1.2256,1.2266,0.0008
3224,Európai részvény eszközalap,2025-12-09,2.6826,2.6758,-0.0026
3225,Európai vállalati kötvény eszközalap,2025-12-09,1.3218,1.3228,0.0007
3226,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-09,1.1444,1.1361,-0.0073
3227,Fejlõdõ ázsiai részvény eszközalap,2025-12-09,2.4068,2.3985,-0.0034
3228,Fenntartható növekedés részvény eszk.,2025-12-09,3.1919,3.186,-0.0019
3229,Globális egészségügyi részvény eszk.,2025-12-09,3.5316,3.5263,-0.0015
3230,Globális növekedési részvény eszközalap,2025-12-09,2.1541,2.1404,-0.0064
3231,Kiegyensúlyozott vegyes eszközalap - D,2025-12-09,1.4374,1.4372,-0.0001
3232,Latin-amerikai részvény eszközalap,2025-12-09,1.2388,1.2353,-0.0029
3233,Magas kötvény arányú vegyes eszk. - D,2025-12-09,1.1137,1.1143,0.0006
3234,Magas védelmû vegyes eszközalap,2025-12-09,1.1041,1.1039,-0.0002
3235,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-09,3.1381,3.1343,-0.0012
3236,Nyersanyagpiaci részvény eszközalap,2025-12-09,1.4188,1.4146,-0.0029
3237,Presztízs- és luxusmárkák rv. ea.,2025-12-09,3.6517,3.6299,-0.006
3238,USA részvény eszközalap,2025-12-09,4.6517,4.6484,-0.0007
3239,Ázsia kötvény eszközalap,2025-12-09,2.2598,2.2588,-0.0004
3240,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-10,0.95,0.952,0.0021
3241,Euró likviditás eszközalap - D,2025-12-10,0.9246,0.9243,-0.0004
3242,Európai ingatlancégek részv. eszközalap,2025-12-10,1.7823,1.7792,-0.0017
3243,Európai kötvény eszközalap - D,2025-12-10,1.2266,1.2266,0.0
3244,Európai részvény eszközalap,2025-12-10,2.6758,2.6675,-0.0031
3245,Európai vállalati kötvény eszközalap,2025-12-10,1.3228,1.322,-0.0007
3246,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-10,1.1361,1.1381,0.0018
3247,Fejlõdõ ázsiai részvény eszközalap,2025-12-10,2.3985,2.4126,0.0059
3248,Fenntartható növekedés részvény eszk.,2025-12-10,3.186,3.1971,0.0035
3249,Globális egészségügyi részvény eszk.,2025-12-10,3.5263,3.5003,-0.0074
3250,Globális növekedési részvény eszközalap,2025-12-10,2.1404,2.1447,0.002
3251,Kiegyensúlyozott vegyes eszközalap - D,2025-12-10,1.4372,1.439,0.0012
3252,Latin-amerikai részvény eszközalap,2025-12-10,1.2353,1.2351,-0.0001
3253,Magas kötvény arányú vegyes eszk. - D,2025-12-10,1.1143,1.1148,0.0004
3254,Magas védelmû vegyes eszközalap,2025-12-10,1.1039,1.1025,-0.0012
3255,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-10,3.1343,3.1413,0.0022
3256,Nyersanyagpiaci részvény eszközalap,2025-12-10,1.4146,1.4131,-0.0011
3257,Presztízs- és luxusmárkák rv. ea.,2025-12-10,3.6299,3.6072,-0.0063
3258,USA részvény eszközalap,2025-12-10,4.6484,4.6767,0.0061
3259,Ázsia kötvény eszközalap,2025-12-10,2.2588,2.2614,0.0011
3260,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-11,0.952,0.9519,-0.0001
3261,Euró likviditás eszközalap - D,2025-12-11,0.9243,0.9246,0.0003
3262,Európai ingatlancégek részv. eszközalap,2025-12-11,1.7792,1.781,0.001
3263,Európai kötvény eszközalap - D,2025-12-11,1.2266,1.2281,0.0012
3264,Európai részvény eszközalap,2025-12-11,2.6675,2.6897,0.0083
3265,Európai vállalati kötvény eszközalap,2025-12-11,1.322,1.3229,0.0007
3266,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-11,1.1381,1.1329,-0.0046
3267,Fejlõdõ ázsiai részvény eszközalap,2025-12-11,2.4126,2.3812,-0.013
3268,Fenntartható növekedés részvény eszk.,2025-12-11,3.1971,3.1803,-0.0053
3269,Globális egészségügyi részvény eszk.,2025-12-11,3.5003,3.5417,0.0118
3270,Globális növekedési részvény eszközalap,2025-12-11,2.1447,2.1425,-0.0011
3271,Kiegyensúlyozott vegyes eszközalap - D,2025-12-11,1.439,1.4384,-0.0004
3272,Latin-amerikai részvény eszközalap,2025-12-11,1.2351,1.2504,0.0124
3273,Magas kötvény arányú vegyes eszk. - D,2025-12-11,1.1148,1.1152,0.0004
3274,Magas védelmû vegyes eszközalap,2025-12-11,1.1025,1.1059,0.0031
3275,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-11,3.1413,3.1408,-0.0001
3276,Nyersanyagpiaci részvény eszközalap,2025-12-11,1.4131,1.4392,0.0184
3277,Presztízs- és luxusmárkák rv. ea.,2025-12-11,3.6072,3.6817,0.0207
3278,USA részvény eszközalap,2025-12-11,4.6767,4.6416,-0.0075
3279,Ázsia kötvény eszközalap,2025-12-11,2.2614,2.2531,-0.0037
3280,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-12,0.9519,0.9482,-0.004
3281,Euró likviditás eszközalap - D,2025-12-12,0.9246,0.9246,0.0
3282,Európai ingatlancégek részv. eszközalap,2025-12-12,1.781,1.7783,-0.0015
3283,Európai kötvény eszközalap - D,2025-12-12,1.2281,1.2272,-0.0007
3284,Európai részvény eszközalap,2025-12-12,2.6897,2.6767,-0.0048
3285,Európai vállalati kötvény eszközalap,2025-12-12,1.3229,1.3227,-0.0002
3286,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-12,1.1329,1.1328,0.0
3287,Fejlõdõ ázsiai részvény eszközalap,2025-12-12,2.3812,2.3961,0.0063
3288,Fenntartható növekedés részvény eszk.,2025-12-12,3.1803,3.1543,-0.0082
3289,Globális egészségügyi részvény eszk.,2025-12-12,3.5417,3.5468,0.0014
3290,Globális növekedési részvény eszközalap,2025-12-12,2.1425,2.1254,-0.008
3291,Kiegyensúlyozott vegyes eszközalap - D,2025-12-12,1.4384,1.433,-0.0037
3292,Latin-amerikai részvény eszközalap,2025-12-12,1.2504,1.2487,-0.0014
3293,Magas kötvény arányú vegyes eszk. - D,2025-12-12,1.1152,1.1126,-0.0024
3294,Magas védelmû vegyes eszközalap,2025-12-12,1.1059,1.1041,-0.0016
3295,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-12,3.1408,3.1404,-0.0001
3296,Nyersanyagpiaci részvény eszközalap,2025-12-12,1.4392,1.4348,-0.0031
3297,Presztízs- és luxusmárkák rv. ea.,2025-12-12,3.6817,3.6856,0.0011
3298,USA részvény eszközalap,2025-12-12,4.6416,4.6073,-0.0074
3299,Ázsia kötvény eszközalap,2025-12-12,2.2531,2.2463,-0.003
3300,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-15,0.9482,0.9482,0.0
3301,Euró likviditás eszközalap - D,2025-12-15,0.9246,0.9246,0.0
3302,Európai ingatlancégek részv. eszközalap,2025-12-15,1.7783,1.7783,0.0
3303,Európai kötvény eszközalap - D,2025-12-15,1.2272,1.2272,0.0
3304,Európai részvény eszközalap,2025-12-15,2.6767,2.6767,0.0
3305,Európai vállalati kötvény eszközalap,2025-12-15,1.3227,1.3227,0.0
3306,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-15,1.1328,1.1328,0.0
3307,Fejlõdõ ázsiai részvény eszközalap,2025-12-15,2.3961,2.3961,0.0
3308,Fenntartható növekedés részvény eszk.,2025-12-15,3.1543,3.1543,0.0
3309,Globális egészségügyi részvény eszk.,2025-12-15,3.5468,3.5468,0.0
3310,Globális növekedési részvény eszközalap,2025-12-15,2.1254,2.1254,0.0
3311,Kiegyensúlyozott vegyes eszközalap - D,2025-12-15,1.433,1.433,0.0
3312,Latin-amerikai részvény eszközalap,2025-12-15,1.2487,1.2487,0.0
3313,Magas kötvény arányú vegyes eszk. - D,2025-12-15,1.1126,1.1126,0.0
3314,Magas védelmû vegyes eszközalap,2025-12-15,1.1041,1.1041,0.0
3315,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-15,3.1404,3.1404,0.0
3316,Nyersanyagpiaci részvény eszközalap,2025-12-15,1.4348,1.4348,0.0
3317,Presztízs- és luxusmárkák rv. ea.,2025-12-15,3.6856,3.6856,0.0
3318,USA részvény eszközalap,2025-12-15,4.6073,4.6073,0.0
3319,Ázsia kötvény eszközalap,2025-12-15,2.2463,2.2463,0.0
3320,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-15,0.9482,0.9482,0.0
3321,Euró likviditás eszközalap - D,2025-12-15,0.9246,0.9246,0.0
3322,Európai ingatlancégek részv. eszközalap,2025-12-15,1.7783,1.7783,0.0
3323,Európai kötvény eszközalap - D,2025-12-15,1.2272,1.2272,0.0
3324,Európai részvény eszközalap,2025-12-15,2.6767,2.6767,0.0
3325,Európai vállalati kötvény eszközalap,2025-12-15,1.3227,1.3227,0.0
3326,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-15,1.1328,1.1328,0.0
3327,Fejlõdõ ázsiai részvény eszközalap,2025-12-15,2.3961,2.3961,0.0
3328,Fenntartható növekedés részvény eszk.,2025-12-15,3.1543,3.1543,0.0
3329,Globális egészségügyi részvény eszk.,2025-12-15,3.5468,3.5468,0.0
3330,Globális növekedési részvény eszközalap,2025-12-15,2.1254,2.1254,0.0
3331,Kiegyensúlyozott vegyes eszközalap - D,2025-12-15,1.433,1.433,0.0
3332,Latin-amerikai részvény eszközalap,2025-12-15,1.2487,1.2487,0.0
3333,Magas kötvény arányú vegyes eszk. - D,2025-12-15,1.1126,1.1126,0.0
3334,Magas védelmû vegyes eszközalap,2025-12-15,1.1041,1.1041,0.0
3335,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-15,3.1404,3.1404,0.0
3336,Nyersanyagpiaci részvény eszközalap,2025-12-15,1.4348,1.4348,0.0
3337,Presztízs- és luxusmárkák rv. ea.,2025-12-15,3.6856,3.6856,0.0
3338,USA részvény eszközalap,2025-12-15,4.6073,4.6073,0.0
3339,Ázsia kötvény eszközalap,2025-12-15,2.2463,2.2463,0.0
3340,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-15,0.9482,0.9482,0.0
3341,Euró likviditás eszközalap - D,2025-12-15,0.9246,0.9246,0.0
3342,Európai ingatlancégek részv. eszközalap,2025-12-15,1.7783,1.7783,0.0
3343,Európai kötvény eszközalap - D,2025-12-15,1.2272,1.2272,0.0
3344,Európai részvény eszközalap,2025-12-15,2.6767,2.6767,0.0
3345,Európai vállalati kötvény eszközalap,2025-12-15,1.3227,1.3227,0.0
3346,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-15,1.1328,1.1328,0.0
3347,Fejlõdõ ázsiai részvény eszközalap,2025-12-15,2.3961,2.3961,0.0
3348,Fenntartható növekedés részvény eszk.,2025-12-15,3.1543,3.1543,0.0
3349,Globális egészségügyi részvény eszk.,2025-12-15,3.5468,3.5468,0.0
3350,Globális növekedési részvény eszközalap,2025-12-15,2.1254,2.1254,0.0
3351,Kiegyensúlyozott vegyes eszközalap - D,2025-12-15,1.433,1.433,0.0
3352,Latin-amerikai részvény eszközalap,2025-12-15,1.2487,1.2487,0.0
3353,Magas kötvény arányú vegyes eszk. - D,2025-12-15,1.1126,1.1126,0.0
3354,Magas védelmû vegyes eszközalap,2025-12-15,1.1041,1.1041,0.0
3355,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-15,3.1404,3.1404,0.0
3356,Nyersanyagpiaci részvény eszközalap,2025-12-15,1.4348,1.4348,0.0
3357,Presztízs- és luxusmárkák rv. ea.,2025-12-15,3.6856,3.6856,0.0
3358,USA részvény eszközalap,2025-12-15,4.6073,4.6073,0.0
3359,Ázsia kötvény eszközalap,2025-12-15,2.2463,2.2463,0.0
3360,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-16,0.9486,0.9479,-0.0007
3361,Euró likviditás eszközalap - D,2025-12-16,0.9249,0.9252,0.0003
3362,Európai ingatlancégek részv. eszközalap,2025-12-16,1.7763,1.7858,0.0053
3363,Európai kötvény eszközalap - D,2025-12-16,1.2279,1.2288,0.0007
3364,Európai részvény eszközalap,2025-12-16,2.6897,2.6768,-0.0048
3365,Európai vállalati kötvény eszközalap,2025-12-16,1.3236,1.3239,0.0002
3366,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-16,1.1327,1.1172,-0.0137
3367,Fejlõdõ ázsiai részvény eszközalap,2025-12-16,2.3763,2.3397,-0.0154
3368,Fenntartható növekedés részvény eszk.,2025-12-16,3.1511,3.1449,-0.0019
3369,Globális egészségügyi részvény eszk.,2025-12-16,3.5829,3.5623,-0.0058
3370,Globális növekedési részvény eszközalap,2025-12-16,2.1284,2.1218,-0.0031
3371,Kiegyensúlyozott vegyes eszközalap - D,2025-12-16,1.4312,1.4284,-0.002
3372,Latin-amerikai részvény eszközalap,2025-12-16,1.2696,1.2356,-0.0268
3373,Magas kötvény arányú vegyes eszk. - D,2025-12-16,1.1123,1.1115,-0.0008
3374,Magas védelmû vegyes eszközalap,2025-12-16,1.1064,1.1039,-0.0023
3375,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-16,3.1607,3.1596,-0.0004
3376,Nyersanyagpiaci részvény eszközalap,2025-12-16,1.4342,1.4361,0.0013
3377,Presztízs- és luxusmárkák rv. ea.,2025-12-16,3.7025,3.7107,0.0022
3378,USA részvény eszközalap,2025-12-16,4.588,4.5812,-0.0015
3379,Ázsia kötvény eszközalap,2025-12-16,2.245,2.243,-0.0009
3380,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-17,0.9479,0.9454,-0.0027
3381,Euró likviditás eszközalap - D,2025-12-17,0.9252,0.9251,-0.0001
3382,Európai ingatlancégek részv. eszközalap,2025-12-17,1.7858,1.7933,0.0042
3383,Európai kötvény eszközalap - D,2025-12-17,1.2288,1.228,-0.0007
3384,Európai részvény eszközalap,2025-12-17,2.6768,2.6603,-0.0061
3385,Európai vállalati kötvény eszközalap,2025-12-17,1.3239,1.3232,-0.0005
3386,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-17,1.1172,1.1202,0.0027
3387,Fejlõdõ ázsiai részvény eszközalap,2025-12-17,2.3397,2.3577,0.0077
3388,Fenntartható növekedés részvény eszk.,2025-12-17,3.1449,3.1262,-0.006
3389,Globális egészségügyi részvény eszk.,2025-12-17,3.5623,3.5545,-0.0022
3390,Globális növekedési részvény eszközalap,2025-12-17,2.1218,2.1051,-0.0079
3391,Kiegyensúlyozott vegyes eszközalap - D,2025-12-17,1.4284,1.4237,-0.0033
3392,Latin-amerikai részvény eszközalap,2025-12-17,1.2356,1.2082,-0.0222
3393,Magas kötvény arányú vegyes eszk. - D,2025-12-17,1.1115,1.109,-0.0022
3394,Magas védelmû vegyes eszközalap,2025-12-17,1.1039,1.1011,-0.0026
3395,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-17,3.1596,3.1755,0.005
3396,Nyersanyagpiaci részvény eszközalap,2025-12-17,1.4361,1.4295,-0.0046
3397,Presztízs- és luxusmárkák rv. ea.,2025-12-17,3.7107,3.7092,-0.0004
3398,USA részvény eszközalap,2025-12-17,4.5812,4.5409,-0.0088
3399,Ázsia kötvény eszközalap,2025-12-17,2.243,2.2514,0.0037
3400,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-18,0.9454,0.949,0.0038
3401,Euró likviditás eszközalap - D,2025-12-18,0.9251,0.9253,0.0002
3402,Európai ingatlancégek részv. eszközalap,2025-12-18,1.7933,1.8123,0.0106
3403,Európai kötvény eszközalap - D,2025-12-18,1.228,1.2293,0.0011
3404,Európai részvény eszközalap,2025-12-18,2.6603,2.6878,0.0104
3405,Európai vállalati kötvény eszközalap,2025-12-18,1.3232,1.3239,0.0005
3406,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-18,1.1202,1.1316,0.0101
3407,Fejlõdõ ázsiai részvény eszközalap,2025-12-18,2.3577,2.3554,-0.001
3408,Fenntartható növekedés részvény eszk.,2025-12-18,3.1262,3.1554,0.0093
3409,Globális egészségügyi részvény eszk.,2025-12-18,3.5545,3.5622,0.0022
3410,Globális növekedési részvény eszközalap,2025-12-18,2.1051,2.124,0.009
3411,Kiegyensúlyozott vegyes eszközalap - D,2025-12-18,1.4237,1.4272,0.0025
3412,Latin-amerikai részvény eszközalap,2025-12-18,1.2082,1.2227,0.012
3413,Magas kötvény arányú vegyes eszk. - D,2025-12-18,1.109,1.1111,0.0019
3414,Magas védelmû vegyes eszközalap,2025-12-18,1.1011,1.1053,0.0038
3415,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-18,3.1755,3.1772,0.0005
3416,Nyersanyagpiaci részvény eszközalap,2025-12-18,1.4295,1.4558,0.0184
3417,Presztízs- és luxusmárkák rv. ea.,2025-12-18,3.7092,3.7321,0.0062
3418,USA részvény eszközalap,2025-12-18,4.5409,4.5837,0.0094
3419,Ázsia kötvény eszközalap,2025-12-18,2.2514,2.2514,0.0
3420,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-19,0.949,0.9501,0.0012
3421,Euró likviditás eszközalap - D,2025-12-19,0.9253,0.925,-0.0003
3422,Európai ingatlancégek részv. eszközalap,2025-12-19,1.8123,1.8057,-0.0036
3423,Európai kötvény eszközalap - D,2025-12-19,1.2293,1.2272,-0.0017
3424,Európai részvény eszközalap,2025-12-19,2.6878,2.701,0.0049
3425,Európai vállalati kötvény eszközalap,2025-12-19,1.3239,1.3221,-0.0013
3426,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-19,1.1316,1.1366,0.0045
3427,Fejlõdõ ázsiai részvény eszközalap,2025-12-19,2.3554,2.3803,0.0106
3428,Fenntartható növekedés részvény eszk.,2025-12-19,3.1554,3.1811,0.0081
3429,Globális egészségügyi részvény eszk.,2025-12-19,3.5622,3.5698,0.0022
3430,Globális növekedési részvény eszközalap,2025-12-19,2.124,2.1376,0.0064
3431,Kiegyensúlyozott vegyes eszközalap - D,2025-12-19,1.4272,1.4323,0.0036
3432,Latin-amerikai részvény eszközalap,2025-12-19,1.2227,1.2333,0.0087
3433,Magas kötvény arányú vegyes eszk. - D,2025-12-19,1.1111,1.1119,0.0007
3434,Magas védelmû vegyes eszközalap,2025-12-19,1.1053,1.1071,0.0016
3435,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-19,3.1772,3.1561,-0.0066
3436,Nyersanyagpiaci részvény eszközalap,2025-12-19,1.4558,1.4567,0.0006
3437,Presztízs- és luxusmárkák rv. ea.,2025-12-19,3.7321,3.7456,0.0036
3438,USA részvény eszközalap,2025-12-19,4.5837,4.6351,0.0112
3439,Ázsia kötvény eszközalap,2025-12-19,2.2514,2.2536,0.001
3440,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-22,0.9501,0.9501,0.0
3441,Euró likviditás eszközalap - D,2025-12-22,0.925,0.925,0.0
3442,Európai ingatlancégek részv. eszközalap,2025-12-22,1.8057,1.8057,0.0
3443,Európai kötvény eszközalap - D,2025-12-22,1.2272,1.2272,0.0
3444,Európai részvény eszközalap,2025-12-22,2.701,2.701,0.0
3445,Európai vállalati kötvény eszközalap,2025-12-22,1.3221,1.3221,0.0
3446,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-22,1.1366,1.1366,0.0
3447,Fejlõdõ ázsiai részvény eszközalap,2025-12-22,2.3803,2.3803,0.0
3448,Fenntartható növekedés részvény eszk.,2025-12-22,3.1811,3.1811,0.0
3449,Globális egészségügyi részvény eszk.,2025-12-22,3.5698,3.5698,0.0
3450,Globális növekedési részvény eszközalap,2025-12-22,2.1376,2.1376,0.0
3451,Kiegyensúlyozott vegyes eszközalap - D,2025-12-22,1.4323,1.4323,0.0
3452,Latin-amerikai részvény eszközalap,2025-12-22,1.2333,1.2333,0.0
3453,Magas kötvény arányú vegyes eszk. - D,2025-12-22,1.1119,1.1119,0.0
3454,Magas védelmû vegyes eszközalap,2025-12-22,1.1071,1.1071,0.0
3455,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-22,3.1561,3.1561,0.0
3456,Nyersanyagpiaci részvény eszközalap,2025-12-22,1.4567,1.4567,0.0
3457,Presztízs- és luxusmárkák rv. ea.,2025-12-22,3.7456,3.7456,0.0
3458,USA részvény eszközalap,2025-12-22,4.6351,4.6351,0.0
3459,Ázsia kötvény eszközalap,2025-12-22,2.2536,2.2536,0.0
3460,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-22,0.9501,0.9501,0.0
3461,Euró likviditás eszközalap - D,2025-12-22,0.925,0.925,0.0
3462,Európai ingatlancégek részv. eszközalap,2025-12-22,1.8057,1.8057,0.0
3463,Európai kötvény eszközalap - D,2025-12-22,1.2272,1.2272,0.0
3464,Európai részvény eszközalap,2025-12-22,2.701,2.701,0.0
3465,Európai vállalati kötvény eszközalap,2025-12-22,1.3221,1.3221,0.0
3466,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-22,1.1366,1.1366,0.0
3467,Fejlõdõ ázsiai részvény eszközalap,2025-12-22,2.3803,2.3803,0.0
3468,Fenntartható növekedés részvény eszk.,2025-12-22,3.1811,3.1811,0.0
3469,Globális egészségügyi részvény eszk.,2025-12-22,3.5698,3.5698,0.0
3470,Globális növekedési részvény eszközalap,2025-12-22,2.1376,2.1376,0.0
3471,Kiegyensúlyozott vegyes eszközalap - D,2025-12-22,1.4323,1.4323,0.0
