id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
3572,Kiegyensúlyozott vegyes eszközalap - D,2025-11-28,1.4398,2025-11-29,1.4424,0.0018,-0.0069,1.0018,1.0126,1.26
3573,Latin-amerikai részvény eszközalap,2025-11-28,1.2496,2025-11-29,1.2559,0.0051,0.1924,1.0051,1.0685,6.85
3574,Magas kötvény arányú vegyes eszk. - D,2025-11-28,1.1206,2025-11-29,1.121,0.0003,0.0625,1.0003,1.0021,0.21
3575,Magas védelmû vegyes eszközalap,2025-11-28,1.1011,2025-11-29,1.1015,0.0004,0.0273,1.0004,0.9984,-0.16
3576,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-28,3.1987,2025-11-29,3.2081,0.003,0.0751,1.003,1.024,2.4
3577,Nyersanyagpiaci részvény eszközalap,2025-11-28,1.4093,2025-11-29,1.4262,0.012,0.0142,1.012,1.0005,0.05
3578,Presztízs- és luxusmárkák rv. ea.,2025-11-28,3.6529,2025-11-29,3.6715,0.0051,-0.0438,1.0051,1.0259,2.59
3579,USA részvény eszközalap,2025-11-28,4.6583,2025-11-29,4.6735,0.0033,-0.0021,1.0033,1.006,0.6
3580,Ázsia kötvény eszközalap,2025-11-28,2.2797,2025-11-29,2.2806,0.0004,-0.0745,1.0004,1.0326,3.26
3581,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-29,0.9585,2025-11-29,0.9585,0.0,0.0522,1.0,1.0047,0.47
3582,Euró likviditás eszközalap - D,2025-11-29,0.9265,2025-11-29,0.9265,0.0,0.0108,1.0,0.9987,-0.13
3583,Európai ingatlancégek részv. eszközalap,2025-11-29,1.8533,2025-11-29,1.8533,0.0,0.0378,1.0,0.918,-8.2
3584,Európai kötvény eszközalap - D,2025-11-29,1.2376,2025-11-29,1.2376,0.0,-0.0404,1.0,0.9917,-0.83
3585,Európai részvény eszközalap,2025-11-29,2.6663,2025-11-29,2.6663,0.0,0.4105,1.0,0.9954,-0.46
3586,Európai vállalati kötvény eszközalap,2025-11-29,1.329,2025-11-29,1.329,0.0,-0.0075,1.0,1.0016,0.16
3587,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-29,1.149,2025-11-29,1.149,0.0,0.2618,1.0,0.9904,-0.96
3588,Fejlõdõ ázsiai részvény eszközalap,2025-11-29,2.4005,2025-11-29,2.4005,0.0,0.3805,1.0,1.0978,9.78
3589,Fenntartható növekedés részvény eszk.,2025-11-29,3.2177,2025-11-29,3.2177,0.0,0.1276,1.0,0.9711,-2.89
3590,Globális egészségügyi részvény eszk.,2025-11-29,3.6229,2025-11-29,3.6229,0.0,-0.4944,1.0,1.1179,11.79
3591,Globális növekedési részvény eszközalap,2025-11-29,2.1599,2025-11-29,2.1599,0.0,0.2134,1.0,0.9249,-7.51
3592,Kiegyensúlyozott vegyes eszközalap - D,2025-11-29,1.4424,2025-11-29,1.4424,0.0,0.1806,1.0,1.0126,1.26
3593,Latin-amerikai részvény eszközalap,2025-11-29,1.2559,2025-11-29,1.2559,0.0,0.5042,1.0,1.0685,6.85
3594,Magas kötvény arányú vegyes eszk. - D,2025-11-29,1.121,2025-11-29,1.121,0.0,0.0357,1.0,1.0021,0.21
3595,Magas védelmû vegyes eszközalap,2025-11-29,1.1015,2025-11-29,1.1015,0.0,0.0363,1.0,0.9984,-0.16
3596,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-29,3.2081,2025-11-29,3.2081,0.0,0.2939,1.0,1.024,2.4
3597,Nyersanyagpiaci részvény eszközalap,2025-11-29,1.4262,2025-11-29,1.4262,0.0,1.1992,1.0,1.0005,0.05
3598,Presztízs- és luxusmárkák rv. ea.,2025-11-29,3.6715,2025-11-29,3.6715,0.0,0.5092,1.0,1.0259,2.59
3599,USA részvény eszközalap,2025-11-29,4.6735,2025-11-29,4.6735,0.0,0.3263,1.0,1.006,0.6
3600,Ázsia kötvény eszközalap,2025-11-29,2.2806,2025-11-29,2.2806,0.0,0.0395,1.0,1.0326,3.26
3601,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-30,0.9585,2025-11-30,0.9585,0.0,0.0,1.0,1.0047,0.47
3602,Euró likviditás eszközalap - D,2025-11-30,0.9265,2025-11-30,0.9265,0.0,0.0,1.0,0.9987,-0.13
3603,Európai ingatlancégek részv. eszközalap,2025-11-30,1.8533,2025-11-30,1.8533,0.0,0.0,1.0,0.918,-8.2
3604,Európai kötvény eszközalap - D,2025-11-30,1.2376,2025-11-30,1.2376,0.0,0.0,1.0,0.9917,-0.83
3605,Európai részvény eszközalap,2025-11-30,2.6663,2025-11-30,2.6663,0.0,0.0,1.0,0.9954,-0.46
3606,Európai vállalati kötvény eszközalap,2025-11-30,1.329,2025-11-30,1.329,0.0,0.0,1.0,1.0016,0.16
3607,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-30,1.149,2025-11-30,1.149,0.0,0.0,1.0,0.9904,-0.96
3608,Fejlõdõ ázsiai részvény eszközalap,2025-11-30,2.4005,2025-11-30,2.4005,0.0,0.0,1.0,1.0978,9.78
3609,Fenntartható növekedés részvény eszk.,2025-11-30,3.2177,2025-11-30,3.2177,0.0,0.0,1.0,0.9711,-2.89
3610,Globális egészségügyi részvény eszk.,2025-11-30,3.6229,2025-11-30,3.6229,0.0,0.0,1.0,1.1179,11.79
3611,Globális növekedési részvény eszközalap,2025-11-30,2.1599,2025-11-30,2.1599,0.0,0.0,1.0,0.9249,-7.51
3612,Kiegyensúlyozott vegyes eszközalap - D,2025-11-30,1.4424,2025-11-30,1.4424,0.0,0.0,1.0,1.0126,1.26
3613,Latin-amerikai részvény eszközalap,2025-11-30,1.2559,2025-11-30,1.2559,0.0,0.0,1.0,1.0685,6.85
3614,Magas kötvény arányú vegyes eszk. - D,2025-11-30,1.121,2025-11-30,1.121,0.0,0.0,1.0,1.0021,0.21
3615,Magas védelmû vegyes eszközalap,2025-11-30,1.1015,2025-11-30,1.1015,0.0,0.0,1.0,0.9984,-0.16
3616,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-30,3.2081,2025-11-30,3.2081,0.0,0.0,1.0,1.024,2.4
3617,Nyersanyagpiaci részvény eszközalap,2025-11-30,1.4262,2025-11-30,1.4262,0.0,0.0,1.0,1.0005,0.05
3618,Presztízs- és luxusmárkák rv. ea.,2025-11-30,3.6715,2025-11-30,3.6715,0.0,0.0,1.0,1.0259,2.59
3619,USA részvény eszközalap,2025-11-30,4.6735,2025-11-30,4.6735,0.0,0.0,1.0,1.006,0.6
3620,Ázsia kötvény eszközalap,2025-11-30,2.2806,2025-11-30,2.2806,0.0,0.0,1.0,1.0326,3.26
3621,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-01,0.9585,2025-12-01,0.9585,0.0,0.0,1.0,1.0047,0.47
3622,Euró likviditás eszközalap - D,2025-12-01,0.9265,2025-12-01,0.9265,0.0,0.0,1.0,0.9987,-0.13
3623,Európai ingatlancégek részv. eszközalap,2025-12-01,1.8533,2025-12-01,1.8533,0.0,0.0,1.0,0.918,-8.2
3624,Európai kötvény eszközalap - D,2025-12-01,1.2376,2025-12-01,1.2376,0.0,0.0,1.0,0.9917,-0.83
3625,Európai részvény eszközalap,2025-12-01,2.6663,2025-12-01,2.6663,0.0,0.0,1.0,0.9954,-0.46
3626,Európai vállalati kötvény eszközalap,2025-12-01,1.329,2025-12-01,1.329,0.0,0.0,1.0,1.0016,0.16
3627,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-01,1.149,2025-12-01,1.149,0.0,0.0,1.0,0.9904,-0.96
3628,Fejlõdõ ázsiai részvény eszközalap,2025-12-01,2.4005,2025-12-01,2.4005,0.0,0.0,1.0,1.0978,9.78
3629,Fenntartható növekedés részvény eszk.,2025-12-01,3.2177,2025-12-01,3.2177,0.0,0.0,1.0,0.9711,-2.89
3630,Globális egészségügyi részvény eszk.,2025-12-01,3.6229,2025-12-01,3.6229,0.0,0.0,1.0,1.1179,11.79
3631,Globális növekedési részvény eszközalap,2025-12-01,2.1599,2025-12-01,2.1599,0.0,0.0,1.0,0.9249,-7.51
3632,Kiegyensúlyozott vegyes eszközalap - D,2025-12-01,1.4424,2025-12-01,1.4424,0.0,0.0,1.0,1.0126,1.26
3633,Latin-amerikai részvény eszközalap,2025-12-01,1.2559,2025-12-01,1.2559,0.0,0.0,1.0,1.0685,6.85
3634,Magas kötvény arányú vegyes eszk. - D,2025-12-01,1.121,2025-12-01,1.121,0.0,0.0,1.0,1.0021,0.21
3635,Magas védelmû vegyes eszközalap,2025-12-01,1.1015,2025-12-01,1.1015,0.0,0.0,1.0,0.9984,-0.16
3636,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-01,3.2081,2025-12-01,3.2081,0.0,0.0,1.0,1.024,2.4
3637,Nyersanyagpiaci részvény eszközalap,2025-12-01,1.4262,2025-12-01,1.4262,0.0,0.0,1.0,1.0005,0.05
3638,Presztízs- és luxusmárkák rv. ea.,2025-12-01,3.6715,2025-12-01,3.6715,0.0,0.0,1.0,1.0259,2.59
3639,USA részvény eszközalap,2025-12-01,4.6735,2025-12-01,4.6735,0.0,0.0,1.0,1.006,0.6
3640,Ázsia kötvény eszközalap,2025-12-01,2.2806,2025-12-01,2.2806,0.0,0.0,1.0,1.0326,3.26
3641,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-02,0.9542,2025-12-03,0.9546,0.0004,-0.4486,1.0004,1.0051,0.51
3642,Euró likviditás eszközalap - D,2025-12-02,0.9259,2025-12-03,0.926,0.0001,-0.0648,1.0001,0.9988,-0.12
3643,Európai ingatlancégek részv. eszközalap,2025-12-02,1.8309,2025-12-03,1.8327,0.001,-1.2087,1.001,0.919,-8.1
3644,Európai kötvény eszközalap - D,2025-12-02,1.2333,2025-12-03,1.2338,0.0004,-0.3474,1.0004,0.9921,-0.79
3645,Európai részvény eszközalap,2025-12-02,2.6646,2025-12-03,2.6679,0.0012,-0.0638,1.0012,0.9966,-0.34
3646,Európai vállalati kötvény eszközalap,2025-12-02,1.3267,2025-12-03,1.3273,0.0004,-0.1731,1.0004,1.002,0.2
3647,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-02,1.1499,2025-12-03,1.1478,-0.0019,0.0783,0.9981,0.9886,-1.14
3648,Fejlõdõ ázsiai részvény eszközalap,2025-12-02,2.3938,2025-12-03,2.3988,0.0021,-0.2791,1.0021,1.1001,10.01
3649,Fenntartható növekedés részvény eszk.,2025-12-02,3.1948,2025-12-03,3.1977,0.0009,-0.7117,1.0009,0.9719,-2.81
3650,Globális egészségügyi részvény eszk.,2025-12-02,3.6252,2025-12-03,3.589,-0.01,0.0635,0.99,1.1067,10.67
3651,Globális növekedési részvény eszközalap,2025-12-02,2.1425,2025-12-03,2.1469,0.0021,-0.8056,1.0021,0.9268,-7.32
3652,Kiegyensúlyozott vegyes eszközalap - D,2025-12-02,1.438,2025-12-03,1.4386,0.0004,-0.305,1.0004,1.013,1.3
3653,Latin-amerikai részvény eszközalap,2025-12-02,1.2489,2025-12-03,1.261,0.0097,-0.5574,1.0097,1.0789,7.89
3654,Magas kötvény arányú vegyes eszk. - D,2025-12-02,1.1173,2025-12-03,1.1177,0.0003,-0.3301,1.0003,1.0024,0.24
3655,Magas védelmû vegyes eszközalap,2025-12-02,1.1016,2025-12-03,1.1025,0.0009,0.0091,1.0009,0.9993,-0.07
3656,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-02,3.2051,2025-12-03,3.1777,-0.0085,-0.0935,0.9915,1.0153,1.53
3657,Nyersanyagpiaci részvény eszközalap,2025-12-02,1.4264,2025-12-03,1.4037,-0.0159,0.014,0.9841,0.9846,-1.54
3658,Presztízs- és luxusmárkák rv. ea.,2025-12-02,3.6967,2025-12-03,3.667,-0.008,0.6864,0.992,1.0177,1.77
3659,USA részvény eszközalap,2025-12-02,4.6398,2025-12-03,4.6516,0.0025,-0.7211,1.0025,1.0085,0.85
3660,Ázsia kötvény eszközalap,2025-12-02,2.2684,2025-12-03,2.2687,0.0001,-0.5349,1.0001,1.0327,3.27
3661,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-03,0.9546,2025-12-04,0.9548,0.0003,0.0419,1.0003,1.0054,0.54
3662,Euró likviditás eszközalap - D,2025-12-03,0.926,2025-12-04,0.9261,0.0001,0.0108,1.0001,0.9989,-0.11
3663,Európai ingatlancégek részv. eszközalap,2025-12-03,1.8327,2025-12-04,1.8262,-0.0035,0.0983,0.9965,0.9157,-8.43
3664,Európai kötvény eszközalap - D,2025-12-03,1.2338,2025-12-04,1.2346,0.0007,0.0405,1.0007,0.9928,-0.72
3665,Európai részvény eszközalap,2025-12-03,2.6679,2025-12-04,2.6679,0.0,0.1238,1.0,0.9966,-0.34
3666,Európai vállalati kötvény eszközalap,2025-12-03,1.3273,2025-12-04,1.3282,0.0007,0.0452,1.0007,1.0027,0.27
3667,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-03,1.1478,2025-12-04,1.1426,-0.0046,-0.1826,0.9954,0.984,-1.6
3668,Fejlõdõ ázsiai részvény eszközalap,2025-12-03,2.3988,2025-12-04,2.3834,-0.0064,0.2089,0.9936,1.093,9.3
3669,Fenntartható növekedés részvény eszk.,2025-12-03,3.1977,2025-12-04,3.1877,-0.0031,0.0908,0.9969,0.9689,-3.11
3670,Globális egészségügyi részvény eszk.,2025-12-03,3.589,2025-12-04,3.5838,-0.0015,-0.9986,0.9985,1.1051,10.51
3671,Globális növekedési részvény eszközalap,2025-12-03,2.1469,2025-12-04,2.1452,-0.0008,0.2054,0.9992,0.9261,-7.39
3672,Kiegyensúlyozott vegyes eszközalap - D,2025-12-03,1.4386,2025-12-04,1.439,0.0003,0.0417,1.0003,1.0133,1.33
3673,Latin-amerikai részvény eszközalap,2025-12-03,1.261,2025-12-04,1.2611,0.0001,0.9689,1.0001,1.079,7.9
3674,Magas kötvény arányú vegyes eszk. - D,2025-12-03,1.1177,2025-12-04,1.1183,0.0006,0.0358,1.0006,1.003,0.3
3675,Magas védelmû vegyes eszközalap,2025-12-03,1.1025,2025-12-04,1.1027,0.0002,0.0817,1.0002,0.9995,-0.05
3676,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-03,3.1777,2025-12-04,3.1804,0.0009,-0.8549,1.0009,1.0162,1.62
3677,Nyersanyagpiaci részvény eszközalap,2025-12-03,1.4037,2025-12-04,1.4187,0.0107,-1.5914,1.0107,0.9952,-0.48
3678,Presztízs- és luxusmárkák rv. ea.,2025-12-03,3.667,2025-12-04,3.6878,0.0057,-0.8034,1.0057,1.0235,2.35
3679,USA részvény eszközalap,2025-12-03,4.6516,2025-12-04,4.6335,-0.0039,0.2543,0.9961,1.0046,0.46
3680,Ázsia kötvény eszközalap,2025-12-03,2.2687,2025-12-04,2.2631,-0.0024,0.0132,0.9976,1.0302,3.02
3681,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-04,0.9548,2025-12-05,0.9542,-0.0007,0.021,0.9993,1.0047,0.47
3682,Euró likviditás eszközalap - D,2025-12-04,0.9261,2025-12-05,0.9258,-0.0003,0.0108,0.9997,0.9986,-0.14
3683,Európai ingatlancégek részv. eszközalap,2025-12-04,1.8262,2025-12-05,1.8277,0.0008,-0.3547,1.0008,0.9165,-8.35
3684,Európai kötvény eszközalap - D,2025-12-04,1.2346,2025-12-05,1.2325,-0.0017,0.0648,0.9983,0.9911,-0.89
3685,Európai részvény eszközalap,2025-12-04,2.6679,2025-12-05,2.6801,0.0046,0.0,1.0046,1.0011,0.11
3686,Európai vállalati kötvény eszközalap,2025-12-04,1.3282,2025-12-05,1.3275,-0.0006,0.0678,0.9994,1.0021,0.21
3687,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-04,1.1426,2025-12-05,1.1425,0.0,-0.453,1.0,0.984,-1.6
3688,Fejlõdõ ázsiai részvény eszközalap,2025-12-04,2.3834,2025-12-05,2.3776,-0.0024,-0.642,0.9976,1.0904,9.04
3689,Fenntartható növekedés részvény eszk.,2025-12-04,3.1877,2025-12-05,3.1895,0.0006,-0.3127,1.0006,0.9695,-3.05
3690,Globális egészségügyi részvény eszk.,2025-12-04,3.5838,2025-12-05,3.5708,-0.0036,-0.1449,0.9964,1.1011,10.11
3691,Globális növekedési részvény eszközalap,2025-12-04,2.1452,2025-12-05,2.1681,0.0107,-0.0792,1.0107,0.936,-6.4
3692,Kiegyensúlyozott vegyes eszközalap - D,2025-12-04,1.439,2025-12-05,1.4387,-0.0003,0.0278,0.9997,1.013,1.3
3693,Latin-amerikai részvény eszközalap,2025-12-04,1.2611,2025-12-05,1.273,0.0095,0.0079,1.0095,1.0892,8.92
3694,Magas kötvény arányú vegyes eszk. - D,2025-12-04,1.1183,2025-12-05,1.1173,-0.0009,0.0537,0.9991,1.0021,0.21
3695,Magas védelmû vegyes eszközalap,2025-12-04,1.1027,2025-12-05,1.1042,0.0013,0.0181,1.0013,1.0008,0.08
3696,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-04,3.1804,2025-12-05,3.1511,-0.0092,0.085,0.9908,1.0069,0.69
3697,Nyersanyagpiaci részvény eszközalap,2025-12-04,1.4187,2025-12-05,1.4184,-0.0002,1.0686,0.9998,0.995,-0.5
3698,Presztízs- és luxusmárkák rv. ea.,2025-12-04,3.6878,2025-12-05,3.6772,-0.0029,0.5672,0.9971,1.0206,2.06
3699,USA részvény eszközalap,2025-12-04,4.6335,2025-12-05,4.6378,0.0009,-0.3891,1.0009,1.0055,0.55
3700,Ázsia kötvény eszközalap,2025-12-04,2.2631,2025-12-05,2.2576,-0.0024,-0.2468,0.9976,1.0277,2.77
3701,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-05,0.9542,2025-12-06,0.9541,-0.0001,-0.0628,0.9999,1.0046,0.46
3702,Euró likviditás eszközalap - D,2025-12-05,0.9258,2025-12-06,0.9255,-0.0003,-0.0324,0.9997,0.9983,-0.17
3703,Európai ingatlancégek részv. eszközalap,2025-12-05,1.8277,2025-12-06,1.8189,-0.0048,0.0821,0.9952,0.9121,-8.79
3704,Európai kötvény eszközalap - D,2025-12-05,1.2325,2025-12-06,1.2315,-0.0008,-0.1701,0.9992,0.9903,-0.97
3705,Európai részvény eszközalap,2025-12-05,2.6801,2025-12-06,2.6847,0.0017,0.4573,1.0017,1.0028,0.28
3706,Európai vállalati kötvény eszközalap,2025-12-05,1.3275,2025-12-06,1.3263,-0.0009,-0.0527,0.9991,1.0012,0.12
3707,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-05,1.1425,2025-12-06,1.1497,0.0063,-0.0088,1.0063,0.9902,-0.98
3708,Fejlõdõ ázsiai részvény eszközalap,2025-12-05,2.3776,2025-12-06,2.4136,0.0151,-0.2433,1.0151,1.1069,10.69
3709,Fenntartható növekedés részvény eszk.,2025-12-05,3.1895,2025-12-06,3.1998,0.0033,0.0565,1.0033,0.9727,-2.73
3710,Globális egészségügyi részvény eszk.,2025-12-05,3.5708,2025-12-06,3.5707,0.0,-0.3627,1.0,1.1011,10.11
3711,Globális növekedési részvény eszközalap,2025-12-05,2.1681,2025-12-06,2.1708,0.0012,1.0675,1.0012,0.9371,-6.29
3712,Kiegyensúlyozott vegyes eszközalap - D,2025-12-05,1.4387,2025-12-06,1.4409,0.0015,-0.0208,1.0015,1.0145,1.45
3713,Latin-amerikai részvény eszközalap,2025-12-05,1.273,2025-12-06,1.253,-0.0157,0.9436,0.9843,1.0721,7.21
3714,Magas kötvény arányú vegyes eszk. - D,2025-12-05,1.1173,2025-12-06,1.1178,0.0004,-0.0894,1.0004,1.0025,0.25
3715,Magas védelmû vegyes eszközalap,2025-12-05,1.1042,2025-12-06,1.1043,0.0001,0.136,1.0001,1.0009,0.09
3716,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-05,3.1511,2025-12-06,3.1728,0.0069,-0.9213,1.0069,1.0138,1.38
3717,Nyersanyagpiaci részvény eszközalap,2025-12-05,1.4184,2025-12-06,1.4276,0.0065,-0.0211,1.0065,1.0014,0.14
3718,Presztízs- és luxusmárkák rv. ea.,2025-12-05,3.6772,2025-12-06,3.6691,-0.0022,-0.2874,0.9978,1.0183,1.83
3719,USA részvény eszközalap,2025-12-05,4.6378,2025-12-06,4.6625,0.0053,0.0928,1.0053,1.0108,1.08
3720,Ázsia kötvény eszközalap,2025-12-05,2.2576,2025-12-06,2.2605,0.0013,-0.243,1.0013,1.0291,2.91
3721,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-06,0.9541,2025-12-06,0.9541,0.0,-0.0105,1.0,1.0046,0.46
3722,Euró likviditás eszközalap - D,2025-12-06,0.9255,2025-12-06,0.9255,0.0,-0.0324,1.0,0.9983,-0.17
3723,Európai ingatlancégek részv. eszközalap,2025-12-06,1.8189,2025-12-06,1.8189,0.0,-0.4815,1.0,0.9121,-8.79
3724,Európai kötvény eszközalap - D,2025-12-06,1.2315,2025-12-06,1.2315,0.0,-0.0811,1.0,0.9903,-0.97
3725,Európai részvény eszközalap,2025-12-06,2.6847,2025-12-06,2.6847,0.0,0.1716,1.0,1.0028,0.28
3726,Európai vállalati kötvény eszközalap,2025-12-06,1.3263,2025-12-06,1.3263,0.0,-0.0904,1.0,1.0012,0.12
3727,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-06,1.1497,2025-12-06,1.1497,0.0,0.6302,1.0,0.9902,-0.98
3728,Fejlõdõ ázsiai részvény eszközalap,2025-12-06,2.4136,2025-12-06,2.4136,0.0,1.5141,1.0,1.1069,10.69
3729,Fenntartható növekedés részvény eszk.,2025-12-06,3.1998,2025-12-06,3.1998,0.0,0.3229,1.0,0.9727,-2.73
3730,Globális egészségügyi részvény eszk.,2025-12-06,3.5707,2025-12-06,3.5707,0.0,-0.0028,1.0,1.1011,10.11
3731,Globális növekedési részvény eszközalap,2025-12-06,2.1708,2025-12-06,2.1708,0.0,0.1245,1.0,0.9371,-6.29
3732,Kiegyensúlyozott vegyes eszközalap - D,2025-12-06,1.4409,2025-12-06,1.4409,0.0,0.1529,1.0,1.0145,1.45
3733,Latin-amerikai részvény eszközalap,2025-12-06,1.253,2025-12-06,1.253,0.0,-1.5711,1.0,1.0721,7.21
3734,Magas kötvény arányú vegyes eszk. - D,2025-12-06,1.1178,2025-12-06,1.1178,0.0,0.0448,1.0,1.0025,0.25
3735,Magas védelmû vegyes eszközalap,2025-12-06,1.1043,2025-12-06,1.1043,0.0,0.0091,1.0,1.0009,0.09
3736,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-06,3.1728,2025-12-06,3.1728,0.0,0.6886,1.0,1.0138,1.38
3737,Nyersanyagpiaci részvény eszközalap,2025-12-06,1.4276,2025-12-06,1.4276,0.0,0.6486,1.0,1.0014,0.14
3738,Presztízs- és luxusmárkák rv. ea.,2025-12-06,3.6691,2025-12-06,3.6691,0.0,-0.2203,1.0,1.0183,1.83
3739,USA részvény eszközalap,2025-12-06,4.6625,2025-12-06,4.6625,0.0,0.5326,1.0,1.0108,1.08
3740,Ázsia kötvény eszközalap,2025-12-06,2.2605,2025-12-06,2.2605,0.0,0.1285,1.0,1.0291,2.91
3741,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-07,0.9541,2025-12-07,0.9541,0.0,0.0,1.0,1.0046,0.46
3742,Euró likviditás eszközalap - D,2025-12-07,0.9255,2025-12-07,0.9255,0.0,0.0,1.0,0.9983,-0.17
3743,Európai ingatlancégek részv. eszközalap,2025-12-07,1.8189,2025-12-07,1.8189,0.0,0.0,1.0,0.9121,-8.79
3744,Európai kötvény eszközalap - D,2025-12-07,1.2315,2025-12-07,1.2315,0.0,0.0,1.0,0.9903,-0.97
3745,Európai részvény eszközalap,2025-12-07,2.6847,2025-12-07,2.6847,0.0,0.0,1.0,1.0028,0.28
3746,Európai vállalati kötvény eszközalap,2025-12-07,1.3263,2025-12-07,1.3263,0.0,0.0,1.0,1.0012,0.12
3747,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-07,1.1497,2025-12-07,1.1497,0.0,0.0,1.0,0.9902,-0.98
3748,Fejlõdõ ázsiai részvény eszközalap,2025-12-07,2.4136,2025-12-07,2.4136,0.0,0.0,1.0,1.1069,10.69
3749,Fenntartható növekedés részvény eszk.,2025-12-07,3.1998,2025-12-07,3.1998,0.0,0.0,1.0,0.9727,-2.73
3750,Globális egészségügyi részvény eszk.,2025-12-07,3.5707,2025-12-07,3.5707,0.0,0.0,1.0,1.1011,10.11
3751,Globális növekedési részvény eszközalap,2025-12-07,2.1708,2025-12-07,2.1708,0.0,0.0,1.0,0.9371,-6.29
3752,Kiegyensúlyozott vegyes eszközalap - D,2025-12-07,1.4409,2025-12-07,1.4409,0.0,0.0,1.0,1.0145,1.45
3753,Latin-amerikai részvény eszközalap,2025-12-07,1.253,2025-12-07,1.253,0.0,0.0,1.0,1.0721,7.21
3754,Magas kötvény arányú vegyes eszk. - D,2025-12-07,1.1178,2025-12-07,1.1178,0.0,0.0,1.0,1.0025,0.25
3755,Magas védelmû vegyes eszközalap,2025-12-07,1.1043,2025-12-07,1.1043,0.0,0.0,1.0,1.0009,0.09
3756,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-07,3.1728,2025-12-07,3.1728,0.0,0.0,1.0,1.0138,1.38
3757,Nyersanyagpiaci részvény eszközalap,2025-12-07,1.4276,2025-12-07,1.4276,0.0,0.0,1.0,1.0014,0.14
3758,Presztízs- és luxusmárkák rv. ea.,2025-12-07,3.6691,2025-12-07,3.6691,0.0,0.0,1.0,1.0183,1.83
3759,USA részvény eszközalap,2025-12-07,4.6625,2025-12-07,4.6625,0.0,0.0,1.0,1.0108,1.08
3760,Ázsia kötvény eszközalap,2025-12-07,2.2605,2025-12-07,2.2605,0.0,0.0,1.0,1.0291,2.91
3761,Aktív hozamfigyelõ vegyes eszközalap - D,2025-12-08,0.9541,2025-12-08,0.9541,0.0,0.0,1.0,1.0046,0.46
3762,Euró likviditás eszközalap - D,2025-12-08,0.9255,2025-12-08,0.9255,0.0,0.0,1.0,0.9983,-0.17
3763,Európai ingatlancégek részv. eszközalap,2025-12-08,1.8189,2025-12-08,1.8189,0.0,0.0,1.0,0.9121,-8.79
3764,Európai kötvény eszközalap - D,2025-12-08,1.2315,2025-12-08,1.2315,0.0,0.0,1.0,0.9903,-0.97
3765,Európai részvény eszközalap,2025-12-08,2.6847,2025-12-08,2.6847,0.0,0.0,1.0,1.0028,0.28
3766,Európai vállalati kötvény eszközalap,2025-12-08,1.3263,2025-12-08,1.3263,0.0,0.0,1.0,1.0012,0.12
3767,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-08,1.1497,2025-12-08,1.1497,0.0,0.0,1.0,0.9902,-0.98
3768,Fejlõdõ ázsiai részvény eszközalap,2025-12-08,2.4136,2025-12-08,2.4136,0.0,0.0,1.0,1.1069,10.69
3769,Fenntartható növekedés részvény eszk.,2025-12-08,3.1998,2025-12-08,3.1998,0.0,0.0,1.0,0.9727,-2.73
3770,Globális egészségügyi részvény eszk.,2025-12-08,3.5707,2025-12-08,3.5707,0.0,0.0,1.0,1.1011,10.11
3771,Globális növekedési részvény eszközalap,2025-12-08,2.1708,2025-12-08,2.1708,0.0,0.0,1.0,0.9371,-6.29
3772,Kiegyensúlyozott vegyes eszközalap - D,2025-12-08,1.4409,2025-12-08,1.4409,0.0,0.0,1.0,1.0145,1.45
3773,Latin-amerikai részvény eszközalap,2025-12-08,1.253,2025-12-08,1.253,0.0,0.0,1.0,1.0721,7.21
3774,Magas kötvény arányú vegyes eszk. - D,2025-12-08,1.1178,2025-12-08,1.1178,0.0,0.0,1.0,1.0025,0.25
