id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
78,Presztízs- és luxusmárkák rv. ea.,2025-06-06,3.3517,2025-06-07,3.3461,-0.0017,-1.4003,0.9983,1.0015,0.15
79,USA részvény eszközalap,2025-06-06,4.123,2025-06-07,4.1833,0.0146,-0.6482,1.0146,1.015,1.5
80,Ázsia kötvény eszközalap,2025-06-06,2.2348,2025-06-07,2.2331,-0.0007,0.1928,0.9993,1.0037,0.37
81,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-07,0.9252,2025-06-07,0.9252,0.0,0.1949,1.0,1.0042,0.42
82,Euró likviditás eszközalap - D,2025-06-07,0.9238,2025-06-07,0.9238,0.0,0.0217,1.0,0.9988,-0.12
83,Európai ingatlancégek részv. eszközalap,2025-06-07,1.8871,2025-06-07,1.8871,0.0,0.1008,1.0,0.994,-0.6
84,Európai kötvény eszközalap - D,2025-06-07,1.2311,2025-06-07,1.2311,0.0,0.1383,1.0,0.9978,-0.22
85,Európai részvény eszközalap,2025-06-07,2.5542,2025-06-07,2.5542,0.0,0.3773,1.0,1.0132,1.32
86,Európai vállalati kötvény eszközalap,2025-06-07,1.3107,2025-06-07,1.3107,0.0,0.2064,1.0,0.9985,-0.15
87,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-07,1.0344,2025-06-07,1.0344,0.0,0.1065,1.0,1.0215,2.15
88,Fejlõdõ ázsiai részvény eszközalap,2025-06-07,1.9717,2025-06-07,1.9717,0.0,0.6277,1.0,1.0273,2.73
89,Fenntartható növekedés részvény eszk.,2025-06-07,3.0579,2025-06-07,3.0579,0.0,1.1813,1.0,1.0186,1.86
90,Globális egészségügyi részvény eszk.,2025-06-07,3.2178,2025-06-07,3.2178,0.0,1.1314,1.0,1.0194,1.94
91,Globális növekedési részvény eszközalap,2025-06-07,2.2956,2025-06-07,2.2956,0.0,0.7549,1.0,1.007,0.7
92,Kiegyensúlyozott vegyes eszközalap - D,2025-06-07,1.3737,2025-06-07,1.3737,0.0,0.3506,1.0,1.0047,0.47
93,Latin-amerikai részvény eszközalap,2025-06-07,1.0903,2025-06-07,1.0903,0.0,-0.0916,1.0,1.0058,0.58
94,Magas kötvény arányú vegyes eszk. - D,2025-06-07,1.0927,2025-06-07,1.0927,0.0,0.2385,1.0,1.0012,0.12
95,Magas védelmû vegyes eszközalap,2025-06-07,1.0942,2025-06-07,1.0942,0.0,0.0549,1.0,1.0025,0.25
96,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-07,3.2956,2025-06-07,3.2956,0.0,0.1063,1.0,0.9947,-0.53
97,Nyersanyagpiaci részvény eszközalap,2025-06-07,1.3242,2025-06-07,1.3242,0.0,-0.1884,1.0,1.0114,1.14
98,Presztízs- és luxusmárkák rv. ea.,2025-06-07,3.3461,2025-06-07,3.3461,0.0,-0.1671,1.0,1.0015,0.15
99,USA részvény eszközalap,2025-06-07,4.1833,2025-06-07,4.1833,0.0,1.4625,1.0,1.015,1.5
100,Ázsia kötvény eszközalap,2025-06-07,2.2331,2025-06-07,2.2331,0.0,-0.0761,1.0,1.0037,0.37
101,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-08,0.9252,2025-06-08,0.9252,0.0,0.0,1.0,1.0042,0.42
102,Euró likviditás eszközalap - D,2025-06-08,0.9238,2025-06-08,0.9238,0.0,0.0,1.0,0.9988,-0.12
103,Európai ingatlancégek részv. eszközalap,2025-06-08,1.8871,2025-06-08,1.8871,0.0,0.0,1.0,0.994,-0.6
104,Európai kötvény eszközalap - D,2025-06-08,1.2311,2025-06-08,1.2311,0.0,0.0,1.0,0.9978,-0.22
105,Európai részvény eszközalap,2025-06-08,2.5542,2025-06-08,2.5542,0.0,0.0,1.0,1.0132,1.32
106,Európai vállalati kötvény eszközalap,2025-06-08,1.3107,2025-06-08,1.3107,0.0,0.0,1.0,0.9985,-0.15
107,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-08,1.0344,2025-06-08,1.0344,0.0,0.0,1.0,1.0215,2.15
108,Fejlõdõ ázsiai részvény eszközalap,2025-06-08,1.9717,2025-06-08,1.9717,0.0,0.0,1.0,1.0273,2.73
109,Fenntartható növekedés részvény eszk.,2025-06-08,3.0579,2025-06-08,3.0579,0.0,0.0,1.0,1.0186,1.86
110,Globális egészségügyi részvény eszk.,2025-06-08,3.2178,2025-06-08,3.2178,0.0,0.0,1.0,1.0194,1.94
111,Globális növekedési részvény eszközalap,2025-06-08,2.2956,2025-06-08,2.2956,0.0,0.0,1.0,1.007,0.7
112,Kiegyensúlyozott vegyes eszközalap - D,2025-06-08,1.3737,2025-06-08,1.3737,0.0,0.0,1.0,1.0047,0.47
113,Latin-amerikai részvény eszközalap,2025-06-08,1.0903,2025-06-08,1.0903,0.0,0.0,1.0,1.0058,0.58
114,Magas kötvény arányú vegyes eszk. - D,2025-06-08,1.0927,2025-06-08,1.0927,0.0,0.0,1.0,1.0012,0.12
115,Magas védelmû vegyes eszközalap,2025-06-08,1.0942,2025-06-08,1.0942,0.0,0.0,1.0,1.0025,0.25
116,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-08,3.2956,2025-06-08,3.2956,0.0,0.0,1.0,0.9947,-0.53
117,Nyersanyagpiaci részvény eszközalap,2025-06-08,1.3242,2025-06-08,1.3242,0.0,0.0,1.0,1.0114,1.14
118,Presztízs- és luxusmárkák rv. ea.,2025-06-08,3.3461,2025-06-08,3.3461,0.0,0.0,1.0,1.0015,0.15
119,USA részvény eszközalap,2025-06-08,4.1833,2025-06-08,4.1833,0.0,0.0,1.0,1.015,1.5
120,Ázsia kötvény eszközalap,2025-06-08,2.2331,2025-06-08,2.2331,0.0,0.0,1.0,1.0037,0.37
121,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-09,0.9252,2025-06-09,0.9252,0.0,0.0,1.0,1.0042,0.42
122,Euró likviditás eszközalap - D,2025-06-09,0.9238,2025-06-09,0.9238,0.0,0.0,1.0,0.9988,-0.12
123,Európai ingatlancégek részv. eszközalap,2025-06-09,1.8871,2025-06-09,1.8871,0.0,0.0,1.0,0.994,-0.6
124,Európai kötvény eszközalap - D,2025-06-09,1.2311,2025-06-09,1.2311,0.0,0.0,1.0,0.9978,-0.22
125,Európai részvény eszközalap,2025-06-09,2.5542,2025-06-09,2.5542,0.0,0.0,1.0,1.0132,1.32
126,Európai vállalati kötvény eszközalap,2025-06-09,1.3107,2025-06-09,1.3107,0.0,0.0,1.0,0.9985,-0.15
127,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-09,1.0344,2025-06-09,1.0344,0.0,0.0,1.0,1.0215,2.15
128,Fejlõdõ ázsiai részvény eszközalap,2025-06-09,1.9717,2025-06-09,1.9717,0.0,0.0,1.0,1.0273,2.73
129,Fenntartható növekedés részvény eszk.,2025-06-09,3.0579,2025-06-09,3.0579,0.0,0.0,1.0,1.0186,1.86
130,Globális egészségügyi részvény eszk.,2025-06-09,3.2178,2025-06-09,3.2178,0.0,0.0,1.0,1.0194,1.94
131,Globális növekedési részvény eszközalap,2025-06-09,2.2956,2025-06-09,2.2956,0.0,0.0,1.0,1.007,0.7
132,Kiegyensúlyozott vegyes eszközalap - D,2025-06-09,1.3737,2025-06-09,1.3737,0.0,0.0,1.0,1.0047,0.47
133,Latin-amerikai részvény eszközalap,2025-06-09,1.0903,2025-06-09,1.0903,0.0,0.0,1.0,1.0058,0.58
134,Magas kötvény arányú vegyes eszk. - D,2025-06-09,1.0927,2025-06-09,1.0927,0.0,0.0,1.0,1.0012,0.12
135,Magas védelmû vegyes eszközalap,2025-06-09,1.0942,2025-06-09,1.0942,0.0,0.0,1.0,1.0025,0.25
