id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
3202,Euró likviditás eszközalap - D,2025-11-10,0.9262,2025-11-10,0.9262,0.0,1.0,0.9983,-0.0017,0.9259800000000001,0.9254010000000001,,3.999999999999999e-05,1.8e-05,,-0.00021999999999988695,-0.00023752969121127937,-0.0007989999999998831,-0.0008626646512630998,,
3203,Európai ingatlancégek részv. eszközalap,2025-11-10,1.8448,2025-11-10,1.8448,0.0,1.0,0.9156,-0.0844,1.836978,1.833951,,0.00041000000000000015,-2.3000000000000007e-05,,-0.007821999999999996,-0.004240026019080656,-0.010848999999999887,-0.0058808542931482475,,
3204,Európai kötvény eszközalap - D,2025-11-10,1.236,2025-11-10,1.236,0.0,1.0,0.9921,-0.0079,1.235386,1.231993,,0.00017999999999999998,7.599999999999998e-05,,-0.0006139999999998924,-0.0004967637540452204,-0.004007000000000094,-0.0032419093851133447,,
3205,Európai részvény eszközalap,2025-11-10,2.6231,2025-11-10,2.6231,0.0,1.0,0.9903,-0.0097,2.6431759999999995,2.5961719999999997,,-0.000202,0.00022899999999999996,,0.02007599999999954,0.007653539704929106,-0.026928000000000285,-0.010265716137394795,,
3206,Európai vállalati kötvény eszközalap,2025-11-10,1.3275,2025-11-10,1.3275,0.0,1.0,1.0017,0.0017,1.3288200000000001,1.325363,,7.8e-05,6.000000000000001e-05,,0.00132000000000021,0.0009943502824860339,-0.0021369999999998335,-0.0016097928436910234,,
3207,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-10,1.1283,2025-11-10,1.1283,0.0,1.0,0.9986,-0.0014,1.13561,1.102459,,-0.00117,-1.899999999999997e-05,,0.007309999999999928,0.006478773375875146,-0.025841000000000003,-0.022902596827084995,,
3208,Fejlõdõ ázsiai részvény eszközalap,2025-11-10,2.4074,2025-11-10,2.4074,0.0,1.0,1.131,0.131,2.344816,2.253488,,0.0007699999999999999,0.000891,,-0.0625840000000002,-0.025996510758494722,-0.15391200000000005,-0.06393287363961123,,
3209,Fenntartható növekedés részvény eszk.,2025-11-10,3.1982,2025-11-10,3.1982,0.0,1.0,0.9791,-0.0209,3.1648020000000003,3.121248,,-0.0004139999999999999,-0.000145,,-0.033397999999999595,-0.01044274904633844,-0.07695199999999991,-0.024061034331811615,,
3210,Globális egészségügyi részvény eszk.,2025-11-10,3.3684,2025-11-10,3.3684,0.0,1.0,1.0677,0.0677,3.363024,3.294098,,0.0008180000000000002,0.000596,,-0.005376000000000047,-0.0015960099750623583,-0.07430199999999987,-0.022058544115900688,,
3211,Globális növekedési részvény eszközalap,2025-11-10,2.1636,2025-11-10,2.1636,0.0,1.0,0.9194,-0.0806,2.177954,2.1923529999999998,,-0.0007359999999999999,-0.0005690000000000001,,0.014353999999999978,0.006634313181734136,0.028752999999999584,0.013289425032353292,,
3212,Kiegyensúlyozott vegyes eszközalap - D,2025-11-10,1.4351,2025-11-10,1.4351,0.0,1.0,1.0166,0.0166,1.430882,1.414846,,-5.800000000000004e-05,0.00014099999999999998,,-0.004218000000000055,-0.002939168002229848,-0.020253999999999994,-0.014113302208905299,,
3213,Latin-amerikai részvény eszközalap,2025-11-10,1.2189,2025-11-10,1.2189,0.0,1.0,1.0561,0.0561,1.165492,1.138488,,-0.00016999999999999993,0.0007790000000000001,,-0.05340800000000012,-0.04381655591106745,-0.08041200000000015,-0.06597095742062527,,
3214,Magas kötvény arányú vegyes eszk. - D,2025-11-10,1.1181,2025-11-10,1.1181,0.0,1.0,1.0044,0.0044,1.116766,1.109039,,4e-05,0.000103,,-0.0013340000000001684,-0.0011930954297470426,-0.009060999999999986,-0.008103926303550653,,
3215,Magas védelmû vegyes eszközalap,2025-11-10,1.0985,2025-11-10,1.0985,0.0,1.0,0.9987,-0.0013,1.1004099999999999,1.095857,,-4.600000000000003e-05,6.5e-05,,0.0019099999999998563,0.0017387346381427912,-0.002642999999999951,-0.002406008192990397,,
3216,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-10,3.1303,2025-11-10,3.1303,0.0,1.0,0.9873,-0.0127,3.1346819999999997,3.1567650000000005,,0.000854,0.00030999999999999995,,0.004381999999999664,0.001399865827556357,0.026465000000000405,0.008454461233747693,,
3217,Nyersanyagpiaci részvény eszközalap,2025-11-10,1.3564,2025-11-10,1.3564,0.0,1.0,0.9652,-0.0348,1.3841720000000002,1.3687909999999999,,-0.0010199999999999999,-3.3000000000000016e-05,,0.02777200000000013,0.020474786198761523,0.012390999999999819,0.009135210852255838,,
3218,Presztízs- és luxusmárkák rv. ea.,2025-11-10,3.5632,2025-11-10,3.5632,0.0,1.0,1.0195,0.0195,3.601052,3.5526250000000004,,-0.00053,0.000402,,0.037852,0.010623035473731475,-0.010574999999999779,-0.0029678378985181237,,
3219,USA részvény eszközalap,2025-11-10,4.6045,2025-11-10,4.6045,0.0,1.0,1.0128,0.0128,4.569122,4.473758,,-0.0007819999999999999,6.199999999999998e-05,,-0.03537799999999969,-0.007683353241394221,-0.1307419999999997,-0.028394396785753003,,
3220,Ázsia kötvény eszközalap,2025-11-10,2.2847,2025-11-10,2.2847,0.0,1.0,1.0336,0.0336,2.263614,2.246737,,0.000302,0.00026500000000000004,,-0.021085999999999938,-0.00922922046658202,-0.03796299999999997,-0.01661618593250754,,
3221,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-11,0.9574,2025-11-12,0.9589,0.0015,1.0015,1.0064,0.0064,0.9507340000000001,0.944294,,-9.2e-05,4.700000000000001e-05,,-0.008165999999999896,-0.008516007925748144,-0.014606000000000008,-0.01523203670872876,,
3222,Euró likviditás eszközalap - D,2025-11-11,0.9263,2025-11-12,0.9263,0.0001,1.0001,0.9984,-0.0016,0.926014,0.925416,,4.2e-05,1.9e-05,,-0.00028600000000000847,-0.00030875526287380814,-0.0008839999999999959,-0.000954334448882647,,
3223,Európai ingatlancégek részv. eszközalap,2025-11-11,1.8447,2025-11-12,1.8533,0.0047,1.0047,0.9199,-0.0801,1.8380420000000002,1.8342850000000002,,0.0005040000000000001,2.3999999999999994e-05,,-0.015257999999999772,-0.00823288188636474,-0.019014999999999782,-0.010260076620082978,,
3224,Európai kötvény eszközalap - D,2025-11-11,1.2368,2025-11-12,1.2378,0.0008,1.0008,0.9929,-0.0071,1.235612,1.232073,,0.000196,8.399999999999998e-05,,-0.0021880000000000788,-0.0017676522863144925,-0.005727000000000038,-0.004626757149781902,,
3225,Európai részvény eszközalap,2025-11-11,2.6642,2025-11-12,2.6873,0.0087,1.0087,0.999,-0.001,2.645406,2.598518,,-2.8000000000000003e-05,0.000316,,-0.0418940000000001,-0.015589625274439065,-0.08878200000000014,-0.033037621404383634,,
3226,Európai vállalati kötvény eszközalap,2025-11-11,1.3282,2025-11-12,1.3289,0.0005,1.0005,1.0022,0.0022,1.328938,1.3254460000000001,,8.800000000000001e-05,6.500000000000001e-05,,3.799999999998249e-05,2.8595078636453075e-05,-0.003453999999999846,-0.0025991421476407903,,
3227,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-11,1.1532,2025-11-12,1.1594,0.0054,1.0054,1.004,0.004,1.1364159999999999,1.103843,,-0.0010619999999999998,3.500000000000003e-05,,-0.022984000000000115,-0.019824046920821216,-0.05555700000000008,-0.04791875107814394,,
3228,Fejlõdõ ázsiai részvény eszközalap,2025-11-11,2.4368,2025-11-12,2.4155,-0.0088,0.9912,1.121,0.121,2.348102,2.257082,,0.0005939999999999999,0.000803,,-0.06739800000000029,-0.027902297660939882,-0.15841800000000017,-0.06558393707306982,,
3229,Fenntartható növekedés részvény eszk.,2025-11-11,3.2438,2025-11-12,3.2485,0.0014,1.0014,0.9805,-0.0195,3.1677359999999997,3.123492,,-0.0003859999999999999,-0.00013099999999999999,,-0.08076400000000028,-0.02486193627828237,-0.12500799999999979,-0.03848176081268271,,
3230,Globális egészségügyi részvény eszk.,2025-11-11,3.4147,2025-11-12,3.4562,0.0121,1.0121,1.0806,0.0806,3.3669759999999997,3.297405,,0.0010600000000000002,0.000717,,-0.08922400000000019,-0.02581563566923216,-0.15879500000000002,-0.04594496846247324,,
3231,Globális növekedési részvény eszközalap,2025-11-11,2.1691,2025-11-12,2.1715,0.0011,1.0011,0.9204,-0.0796,2.177956,2.191829,,-0.0007139999999999999,-0.000558,,0.006456000000000017,0.002973060096707353,0.02032899999999982,0.009361731521989325,,
3232,Kiegyensúlyozott vegyes eszközalap - D,2025-11-11,1.4442,2025-11-12,1.4479,0.0026,1.0026,1.0193,0.0193,1.431584,1.415495,,-6.000000000000042e-06,0.000167,,-0.016315999999999997,-0.011268734028593134,-0.03240500000000002,-0.02238068927412115,,
3233,Latin-amerikai részvény eszközalap,2025-11-11,1.2385,2025-11-12,1.2549,0.0132,1.0132,1.07,0.07,1.167354,1.1405830000000001,,9.400000000000006e-05,0.000911,,-0.0875459999999999,-0.06976332775519954,-0.11431699999999978,-0.09109650171328376,,
3234,Magas kötvény arányú vegyes eszk. - D,2025-11-11,1.122,2025-11-12,1.1238,0.0016,1.0016,1.0061,0.0061,1.117118,1.109321,,7.2e-05,0.000119,,-0.006681999999999855,-0.005945897846591792,-0.014478999999999909,-0.01288396511834838,,
3235,Magas védelmû vegyes eszközalap,2025-11-11,1.1029,2025-11-12,1.1054,0.0022,1.0022,1.0009,0.0009,1.1006340000000001,1.0960720000000002,,-2.0000000000000228e-06,8.7e-05,,-0.004765999999999826,-0.004311561425728086,-0.009327999999999781,-0.008438574271756632,,
3236,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-11,3.1187,2025-11-12,3.1523,0.0108,1.0108,0.998,-0.002,3.135376,3.1567439999999998,,0.0010700000000000002,0.00041799999999999997,,-0.01692399999999994,-0.005368778352314164,0.0044439999999998925,0.001409764299083175,,
3237,Nyersanyagpiaci részvény eszközalap,2025-11-11,1.3796,2025-11-12,1.3919,0.009,1.009,0.9739,-0.0261,1.384604,1.3698700000000001,,-0.0008399999999999999,5.6999999999999976e-05,,-0.007295999999999969,-0.005241755873266736,-0.022029999999999772,-0.01582728644299143,,
3238,Presztízs- és luxusmárkák rv. ea.,2025-11-11,3.6345,2025-11-12,3.6915,0.0157,1.0157,1.0355,0.0355,3.6035079999999997,3.556067,,-0.00021600000000000002,0.000559,,-0.08799200000000029,-0.02383638087498315,-0.13543299999999991,-0.03668779628877148,,
3239,USA részvény eszközalap,2025-11-11,4.6885,2025-11-12,4.6813,-0.0015,0.9985,1.0113,0.0113,4.5724979999999995,4.478331,,-0.0008119999999999999,4.699999999999998e-05,,-0.10880200000000073,-0.023241834533142658,-0.2029690000000004,-0.043357400722021745,,
3240,Ázsia kötvény eszközalap,2025-11-11,2.2788,2025-11-12,2.2811,0.001,1.001,1.0347,0.0347,2.264608,2.246934,,0.0003220000000000001,0.000275,,-0.01649199999999995,-0.007229845250098616,-0.03416599999999992,-0.014977861558020219,,
3241,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-12,0.9589,2025-11-13,0.9601,0.0012,1.0012,1.0076,0.0076,0.95109,0.9446019999999998,,-3.8e-05,5.9000000000000004e-05,,-0.009009999999999962,-0.009384439120924865,-0.015498000000000123,-0.016142068534527782,,
3242,Euró likviditás eszközalap - D,2025-11-12,0.9263,2025-11-13,0.9264,0.0001,1.0001,0.9985,-0.0015,0.92605,0.925432,,4.7999999999999994e-05,2e-05,,-0.00034999999999996145,-0.00037780656303968205,-0.0009679999999999689,-0.001044905008635545,,
3243,Európai ingatlancégek részv. eszközalap,2025-11-12,1.8533,2025-11-13,1.8552,0.001,1.001,0.9208,-0.0792,1.8392240000000002,1.834638,,0.0004100000000000001,3.399999999999999e-05,,-0.015975999999999768,-0.008611470461405653,-0.02056199999999997,-0.011083441138421718,,
3244,Európai kötvény eszközalap - D,2025-11-12,1.2378,2025-11-13,1.2389,0.0009,1.0009,0.9938,-0.0062,1.235862,1.232164,,0.00022999999999999995,9.299999999999997e-05,,-0.003037999999999874,-0.0024521753168132007,-0.006735999999999853,-0.005437081281782108,,
3245,Európai részvény eszközalap,2025-11-12,2.6873,2025-11-13,2.7105,0.0086,1.0086,1.0075,0.0075,2.6480379999999997,2.601096,,6.799999999999999e-05,0.000402,,-0.06246200000000046,-0.023044456742298637,-0.10940400000000006,-0.040363032650802454,,
3246,Európai vállalati kötvény eszközalap,2025-11-12,1.3289,2025-11-13,1.3296,0.0005,1.0005,1.0027,0.0027,1.3290619999999997,1.3255360000000003,,0.000104,7.000000000000001e-05,,-0.0005380000000001495,-0.0004046329723226155,-0.0040639999999996235,-0.0030565583634172863,,
3247,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-12,1.1594,2025-11-13,1.1687,0.008,1.008,1.012,0.012,1.137454,1.1053199999999999,,-0.0009019999999999999,0.00011500000000000003,,-0.031246000000000107,-0.026735689227346714,-0.06338000000000021,-0.054231197056558746,,
3248,Fejlõdõ ázsiai részvény eszközalap,2025-11-12,2.4155,2025-11-13,2.4223,0.0028,1.0028,1.1242,0.1242,2.351424,2.260744,,0.0006159999999999998,0.0008309999999999999,,-0.07087599999999972,-0.029259794410271114,-0.16155600000000003,-0.06669528960079266,,
3249,Fenntartható növekedés részvény eszk.,2025-11-12,3.2485,2025-11-13,3.2525,0.0012,1.0012,0.9817,-0.0183,3.1711340000000003,3.1257759999999997,,-0.00019399999999999997,-0.00011899999999999999,,-0.0813659999999996,-0.02501644888547259,-0.12672400000000028,-0.03896202920830139,,
3250,Globális egészségügyi részvény eszk.,2025-11-12,3.4562,2025-11-13,3.5368,0.0233,1.0233,1.1058,0.1058,3.3723919999999996,3.3015179999999997,,0.001446,0.00095,,-0.16440800000000033,-0.04648495815426384,-0.2352820000000002,-0.06652397647591049,,
3251,Globális növekedési részvény eszközalap,2025-11-12,2.1715,2025-11-13,2.1691,-0.0011,0.9989,0.9194,-0.0806,2.178144,2.191281,,-0.000596,-0.0005690000000000001,,0.009044000000000274,0.004169471209257422,0.02218100000000023,0.010225900142916524,,
3252,Kiegyensúlyozott vegyes eszközalap - D,2025-11-12,1.4479,2025-11-13,1.4505,0.0018,1.0018,1.0211,0.0211,1.4323419999999998,1.4161700000000002,,6.399999999999996e-05,0.000185,,-0.01815800000000012,-0.012518441916580572,-0.03432999999999975,-0.02366770079282989,,
3253,Latin-amerikai részvény eszközalap,2025-11-12,1.2549,2025-11-13,1.2559,0.0008,1.0008,1.0709,0.0709,1.168904,1.142688,,-0.0003039999999999999,0.0009190000000000001,,-0.08699600000000007,-0.06926984632534443,-0.11321200000000009,-0.09014411975475761,,
3254,Magas kötvény arányú vegyes eszk. - D,2025-11-12,1.1238,2025-11-13,1.1254,0.0014,1.0014,1.0075,0.0075,1.117508,1.1096190000000001,,0.000124,0.00013299999999999998,,-0.00789200000000001,-0.007012617735916128,-0.015780999999999823,-0.014022569752976563,,
3255,Magas védelmû vegyes eszközalap,2025-11-12,1.1054,2025-11-13,1.1079,0.0023,1.0023,1.0032,0.0032,1.100894,1.096312,,9.999999999999979e-06,0.00010999999999999999,,-0.007006000000000068,-0.006323675421969552,-0.011588000000000154,-0.010459427746186616,,
3256,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-12,3.1523,2025-11-13,3.1675,0.0048,1.0048,1.0028,0.0028,3.137322,3.156875,,0.001266,0.00046599999999999994,,-0.030177999999999816,-0.009527387529597416,-0.010625000000000107,-0.0033543804262036645,,
3257,Nyersanyagpiaci részvény eszközalap,2025-11-12,1.3919,2025-11-13,1.4137,0.0157,1.0157,0.9891,-0.0109,1.3852699999999998,1.3711669999999998,,-0.0006140000000000001,0.00021399999999999994,,-0.028430000000000177,-0.020110348730282362,-0.042533000000000154,-0.030086298365990066,,
3258,Presztízs- és luxusmárkák rv. ea.,2025-11-12,3.6915,2025-11-13,3.7242,0.0088,1.0088,1.0446,0.0446,3.6058360000000005,3.559836,,-0.00033200000000000005,0.0006469999999999999,,-0.11836399999999969,-0.03178239621932218,-0.1643640000000004,-0.04413404221040771,,
3259,USA részvény eszközalap,2025-11-12,4.6813,2025-11-13,4.6817,0.0001,1.0001,1.0114,0.0114,4.57627,4.482908,,-0.0006339999999999998,4.799999999999997e-05,,-0.10543000000000013,-0.022519597582074915,-0.19879200000000008,-0.042461499028130824,,
3260,Ázsia kötvény eszközalap,2025-11-12,2.2811,2025-11-13,2.2821,0.0004,1.0004,1.0351,0.0351,2.265786,2.247141,,0.00040200000000000007,0.000279,,-0.01631399999999994,-0.007148678848429053,-0.03495899999999974,-0.015318785329301846,,
3261,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-13,0.9601,2025-11-14,0.9529,-0.0075,0.9925,1.0,0.0,0.9513339999999999,0.9448010000000001,,-0.000154,-1.999999999999988e-06,,-0.0015660000000000673,-0.0016434043446322461,-0.008098999999999856,-0.00849931787175974,,
3262,Euró likviditás eszközalap - D,2025-11-13,0.9264,2025-11-14,0.9259,-0.0006,0.9994,0.9979,-0.0021,0.926076,0.9254380000000001,,3.6e-05,1.4000000000000001e-05,,0.000176000000000065,0.0001900853223890971,-0.0004619999999998514,-0.0004989739712710352,,
3263,Európai ingatlancégek részv. eszközalap,2025-11-13,1.8552,2025-11-14,1.8612,0.0032,1.0032,0.9238,-0.0762,1.8405179999999999,1.834757,,0.00047000000000000015,3.7e-05,,-0.02068200000000009,-0.01111218568665382,-0.026442999999999994,-0.014207500537287768,,
3264,Európai kötvény eszközalap - D,2025-11-13,1.2389,2025-11-14,1.2363,-0.0022,0.9978,0.9916,-0.0084,1.236064,1.232188,,0.00018799999999999996,6.599999999999998e-05,,-0.00023599999999990295,-0.00019089217827380326,-0.0041119999999998935,-0.0033260535468736504,,
3265,Európai részvény eszközalap,2025-11-13,2.7105,2025-11-14,2.6952,-0.0057,0.9943,1.0018,0.0018,2.6503699999999997,2.6031180000000003,,-4.400000000000002e-05,0.0003269999999999999,,-0.04483000000000015,-0.016633273968536713,-0.09208199999999955,-0.03416518254674961,,
3266,Európai vállalati kötvény eszközalap,2025-11-13,1.3296,2025-11-14,1.3274,-0.0017,0.9983,1.001,0.001,1.3291399999999998,1.325574,,6.8e-05,4.8e-05,,0.0017399999999998528,0.0013108332077744862,-0.0018259999999998833,-0.0013756215157449776,,
3267,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-13,1.1687,2025-11-14,1.1655,-0.0027,0.9973,1.0093,0.0093,1.138408,1.1066070000000001,,-0.000974,5.100000000000003e-05,,-0.027091999999999894,-0.023244959244959153,-0.05889299999999986,-0.05053024453024441,,
3268,Fejlõdõ ázsiai részvény eszközalap,2025-11-13,2.4223,2025-11-14,2.4224,0.0001,1.0001,1.1243,0.1243,2.354602,2.263981,,0.000552,0.0007579999999999999,,-0.06779800000000025,-0.027987945838837618,-0.1584190000000003,-0.06539753963011902,,
3269,Fenntartható növekedés részvény eszk.,2025-11-13,3.2525,2025-11-14,3.1918,-0.0187,0.9813,0.9633,-0.0367,3.1734500000000003,3.127294,,-0.000526,-0.000229,,-0.018349999999999866,-0.0057491070869101655,-0.06450600000000017,-0.020209912901810945,,
3270,Globális egészségügyi részvény eszk.,2025-11-13,3.5368,2025-11-14,3.5649,0.0079,1.0079,1.1145,0.1145,3.378838,3.305632,,0.0017480000000000002,0.0009720000000000001,,-0.18606200000000017,-0.05219276838059978,-0.25926800000000005,-0.07272798675979691,,
3271,Globális növekedési részvény eszközalap,2025-11-13,2.1691,2025-11-14,2.1531,-0.0074,0.9926,0.9125,-0.0875,2.17807,2.1904850000000002,,-0.000718,-0.0005830000000000001,,0.02497000000000016,0.011597231898193377,0.037385000000000446,0.017363336584459824,,
3272,Kiegyensúlyozott vegyes eszközalap - D,2025-11-13,1.4505,2025-11-14,1.4402,-0.0071,0.9929,1.0138,0.0138,1.432932,1.4166999999999998,,-5.200000000000005e-05,0.00014399999999999998,,-0.00726799999999983,-0.005046521316483704,-0.023500000000000076,-0.016317178169698708,,
3273,Latin-amerikai részvény eszközalap,2025-11-13,1.2559,2025-11-14,1.2482,-0.0061,0.9939,1.0643,0.0643,1.17047,1.144611,,-0.00028199999999999997,0.00079,,-0.07773000000000008,-0.06227367409069066,-0.10358899999999993,-0.08299070661752919,,
3274,Magas kötvény arányú vegyes eszk. - D,2025-11-13,1.1254,2025-11-14,1.1201,-0.0047,0.9953,1.0027,0.0027,1.117808,1.109827,,4.399999999999999e-05,9.7e-05,,-0.0022920000000001828,-0.0020462458709045468,-0.010273000000000199,-0.009171502544415854,,
3275,Magas védelmû vegyes eszközalap,2025-11-13,1.1079,2025-11-14,1.1059,-0.0018,0.9982,1.0014,0.0014,1.101122,1.096502,,-1.800000000000002e-05,8.800000000000001e-05,,-0.004778000000000171,-0.004320462971335718,-0.009398000000000017,-0.008498055882087003,,
3276,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-13,3.1675,2025-11-14,3.1479,-0.0062,0.9938,0.9966,-0.0034,3.1383460000000003,3.156702,,0.00097,0.000385,,-0.009553999999999618,-0.003035039232504088,0.008802000000000199,0.0027961498141618854,,
3277,Nyersanyagpiaci részvény eszközalap,2025-11-13,1.4137,2025-11-14,1.4049,-0.0062,0.9938,0.983,-0.017,1.385858,1.3721200000000002,,-0.000668,0.00010499999999999995,,-0.019042000000000003,-0.013553989607801268,-0.03277999999999981,-0.02333262153889943,,
3278,Presztízs- és luxusmárkák rv. ea.,2025-11-13,3.7242,2025-11-14,3.6684,-0.015,0.985,1.029,0.029,3.607928,3.562765,,-0.000388,0.000439,,-0.0604720000000003,-0.01648457093010585,-0.10563499999999992,-0.02879593283175224,,
3279,USA részvény eszközalap,2025-11-13,4.6817,2025-11-14,4.5855,-0.0205,0.9795,0.9907,-0.0093,4.577966,4.486074,,-0.0010779999999999997,-0.00012600000000000003,,-0.007533999999999708,-0.0016430051248500072,-0.09942599999999935,-0.021682695453058412,,
3280,Ázsia kötvény eszközalap,2025-11-13,2.2821,2025-11-14,2.2728,-0.0041,0.9959,1.0308,0.0308,2.266628,2.247409,,0.000252,0.00020100000000000003,,-0.006172000000000288,-0.002715593101020894,-0.02539099999999994,-0.011171682506159776,,
3281,Aktív hozamfigyelõ vegyes eszközalap - D,2025-11-14,0.9529,2025-11-15,0.9514,-0.0016,0.9984,0.9984,-0.0016,0.951584,0.94499,,-0.00014800000000000002,-1.1999999999999992e-05,,0.00018399999999996197,0.00019339920117717255,-0.006410000000000027,-0.00673743956274966,,
3282,Euró likviditás eszközalap - D,2025-11-14,0.9259,2025-11-15,0.9257,-0.0002,0.9998,0.9977,-0.0023,0.926104,0.925442,,4e-05,1.2000000000000004e-05,,0.00040400000000007097,0.00043642648806316406,-0.00025799999999998047,-0.00027870800475313865,,
3283,Európai ingatlancégek részv. eszközalap,2025-11-14,1.8612,2025-11-15,1.8296,-0.017,0.983,0.9081,-0.0919,1.8416199999999998,1.834352,,0.00037400000000000015,-0.000246,,0.01201999999999992,0.0065697420201136425,0.0047520000000000895,0.0025972890249235294,,
3284,Európai kötvény eszközalap - D,2025-11-14,1.2363,2025-11-15,1.2344,-0.0015,0.9985,0.9901,-0.0099,1.236264,1.232202,,0.00018799999999999996,5.8999999999999984e-05,,0.0018640000000000878,0.0015100453661698703,-0.0021979999999999222,-0.0017806221646143247,,
3285,Európai részvény eszközalap,2025-11-14,2.6952,2025-11-15,2.671,-0.009,0.991,0.9928,-0.0072,2.652414,2.604796,,-0.00014800000000000002,0.0001959999999999999,,-0.01858599999999999,-0.006958442530887305,-0.06620399999999993,-0.02478622238861847,,
3286,Európai vállalati kötvény eszközalap,2025-11-14,1.3274,2025-11-15,1.3257,-0.0013,0.9987,0.9997,-0.0003,1.3292220000000001,1.325599,,7.000000000000001e-05,3.8e-05,,0.003522000000000025,0.0026567096628196613,-0.00010100000000012876,-7.618616579929754e-05,,
3287,Fejlõdõ piaci részvény ESG eszközalap-D,2025-11-14,1.1655,2025-11-15,1.1603,-0.0045,0.9955,1.0048,0.0048,1.139258,1.107908,,-0.0010639999999999998,7.000000000000003e-05,,-0.021042000000000005,-0.018134965095233994,-0.052392000000000216,-0.04515383952426115,,
3288,Fejlõdõ ázsiai részvény eszközalap,2025-11-14,2.4224,2025-11-15,2.405,-0.0072,0.9928,1.1162,0.1162,2.357672,2.267141,,0.0005139999999999999,0.000732,,-0.047327999999999815,-0.019679002079002004,-0.13785899999999973,-0.05732182952182942,,
3289,Fenntartható növekedés részvény eszk.,2025-11-14,3.1918,2025-11-15,3.1853,-0.002,0.998,0.9614,-0.0386,3.1756239999999996,3.128732,,-0.00057,-0.000254,,-0.00967600000000024,-0.003037704454839494,-0.05656799999999995,-0.017759080777320805,,
3290,Globális egészségügyi részvény eszk.,2025-11-14,3.5649,2025-11-15,3.5159,-0.0137,0.9863,1.0993,0.0993,3.384874,3.3096170000000003,,0.00165,0.00095,,-0.13102599999999986,-0.03726670269347816,-0.20628299999999955,-0.058671463921044276,,
3291,Globális növekedési részvény eszközalap,2025-11-14,2.1531,2025-11-15,2.1448,-0.0039,0.9961,0.909,-0.091,2.177858,2.1898090000000003,,-0.0007819999999999999,-0.000531,,0.03305800000000003,0.015413092129802327,0.0450090000000003,0.020985173442745385,,
3292,Kiegyensúlyozott vegyes eszközalap - D,2025-11-14,1.4402,2025-11-15,1.4336,-0.0046,0.9954,1.0092,0.0092,1.43343,1.417151,,-0.00011400000000000003,8.899999999999998e-05,,-0.00017000000000000348,-0.00011858258928571671,-0.016448999999999936,-0.011473911830357099,,
3293,Latin-amerikai részvény eszközalap,2025-11-14,1.2482,2025-11-15,1.2457,-0.002,0.998,1.0622,0.0622,1.172,1.14642,,-0.00030999999999999995,0.000685,,-0.0737000000000001,-0.05916352251746014,-0.09928000000000003,-0.07969816167616604,,
3294,Magas kötvény arányú vegyes eszk. - D,2025-11-14,1.1201,2025-11-15,1.1165,-0.0032,0.9968,0.9995,-0.0005,1.118068,1.109999,,1e-05,6.400000000000001e-05,,0.0015680000000000138,0.0014043887147335546,-0.00650100000000009,-0.005822660098522248,,
3295,Magas védelmû vegyes eszközalap,2025-11-14,1.1059,2025-11-15,1.1034,-0.0023,0.9977,0.9991,-0.0009,1.101332,1.0966630000000002,,-3.600000000000002e-05,6.099999999999999e-05,,-0.0020679999999999588,-0.001874206996556062,-0.006736999999999771,-0.006105673373209871,,
3296,Nemz. élelmiszeripari cégek rv. ea - D,2025-11-14,3.1479,2025-11-15,3.1304,-0.0056,0.9944,0.991,-0.009,3.139008,3.1562110000000003,,0.000854,0.000284,,0.008608000000000171,0.002749808331203735,0.025811000000000472,0.008245272169690926,,
3297,Nyersanyagpiaci részvény eszközalap,2025-11-14,1.4049,2025-11-15,1.3915,-0.0096,0.9904,0.9736,-0.0264,1.386262,1.3729239999999998,,-0.0007999999999999999,-2.0000000000000228e-06,,-0.005237999999999854,-0.003764283147682252,-0.018576000000000148,-0.01334962270930661,,
3298,Presztízs- és luxusmárkák rv. ea.,2025-11-14,3.6684,2025-11-15,3.6488,-0.0053,0.9947,1.0235,0.0235,3.610326,3.56548,,-0.000298,0.00038100000000000005,,-0.0384739999999999,-0.010544288533216371,-0.08332000000000006,-0.022834904626178487,,
3299,USA részvény eszközalap,2025-11-14,4.5855,2025-11-15,4.5954,0.0022,1.0022,0.9929,-0.0071,4.579868,4.489152000000001,,-0.001032,-0.00014800000000000005,,-0.015531999999999435,-0.003379901640771083,-0.10624799999999901,-0.023120511816163775,,
