id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
7389,Fenntartható növekedés részvény eszk.,2026-06-07,3.2159,2026-06-07,3.2159,0.0,1.0,0.9557,-0.0443,3.17011,3.079359,3.1233284999999995,0.0006719999999999999,0.00015200000000000006,1.1499999999999992e-05,-0.045789999999999775,-0.01423862682297328,-0.1365409999999998,-0.0424580988214807,-0.09257150000000047,-0.02878556547156332
7390,Globális egészségügyi részvény eszk.,2026-06-07,3.4689,2026-06-07,3.4689,0.0,1.0,1.1167,0.1167,3.389484,3.421238,3.5169655,0.000826,-6.999999999999998e-05,9.450000000000003e-05,-0.07941600000000015,-0.022893712704315533,-0.047662000000000315,-0.013739802242785988,0.04806549999999987,0.013856121537086647
7391,Globális növekedési részvény eszközalap,2026-06-07,2.1758,2026-06-07,2.1758,0.0,1.0,0.8975,-0.1025,2.164016,2.116514,2.129183,-5.9999999999999913e-05,-0.000308,-2.7000000000000002e-05,-0.011784000000000017,-0.005415938964978406,-0.05928600000000017,-0.027247908815148526,-0.04661700000000035,-0.021425222906517303
7392,Kiegyensúlyozott vegyes eszközalap - D,2026-06-07,1.4973,2026-06-07,1.4973,0.0,1.0,1.0325,0.0325,1.4803119999999999,1.451668,1.4481670000000002,0.000302,0.00010800000000000001,0.0001425,-0.016988000000000225,-0.01134575569358193,-0.04563200000000012,-0.030476190476190552,-0.04913299999999987,-0.03281439925198682
7393,Latin-amerikai részvény eszközalap,2026-06-07,1.3356,2026-06-07,1.3356,0.0,1.0,1.1621,0.1621,1.4205339999999997,1.4231519999999998,1.3735089999999999,-0.0019320000000000001,-0.0002580000000000001,0.0005195,0.08493399999999984,0.06359239293201546,0.08755199999999985,0.06555256064690017,0.03790899999999997,0.028383498053309354
7394,Magas kötvény arányú vegyes eszk. - D,2026-06-07,1.134,2026-06-07,1.134,0.0,1.0,1.0121,0.0121,1.127054,1.115976,1.118055,0.000174,-5.000000000000002e-06,7.799999999999999e-05,-0.006945999999999897,-0.006125220458553702,-0.018023999999999818,-0.015894179894179735,-0.015944999999999876,-0.014060846560846453
7395,Magas védelmû vegyes eszközalap,2026-06-07,1.1203,2026-06-07,1.1203,0.0,1.0,1.0185,0.0185,1.115774,1.113381,1.113717,8.799999999999998e-05,3.2e-05,0.000115,-0.00452600000000003,-0.004039989288583442,-0.0069190000000001195,-0.0061760242792110315,-0.0065830000000000055,-0.005876104614835316
7396,Nemz. élelmiszeripari cégek rv. ea - D,2026-06-07,3.3273,2026-06-07,3.3273,0.0,1.0,1.1219,0.1219,3.340322,3.344176,3.299698,0.0015000000000000002,6.600000000000003e-05,0.000677,0.013021999999999867,0.003913683767619351,0.01687599999999989,0.0050719802843145765,-0.02760200000000035,-0.008295615063264613
7397,Nyersanyagpiaci részvény eszközalap,2026-06-07,1.6632,2026-06-07,1.6632,0.0,1.0,1.0769,0.0769,1.6683160000000001,1.6494680000000002,1.5904445,-0.0009619999999999997,-0.000511,0.0005835,0.0051160000000001205,0.0030759980759981482,-0.013731999999999855,-0.00825637325637317,-0.07275549999999997,-0.0437442881192881
7398,Presztízs- és luxusmárkák rv. ea.,2026-06-07,3.4715,2026-06-07,3.4715,0.0,1.0,1.1151,0.1151,3.3894979999999997,3.3756,3.524268,0.0008919999999999999,0.00051,0.0005790000000000001,-0.08200200000000013,-0.02362148926976815,-0.09589999999999987,-0.02762494598876563,0.05276800000000037,0.015200345671899863
7399,USA részvény eszközalap,2026-06-07,4.901,2026-06-07,4.901,0.0,1.0,1.0124,0.0124,4.877161999999999,4.680149,4.6488175,0.0007059999999999999,0.00023999999999999987,0.00010499999999999995,-0.02383800000000047,-0.004863905325443883,-0.2208509999999997,-0.04506243623750249,-0.2521825,-0.05145531524178739
7400,Ázsia kötvény eszközalap,2026-06-07,2.2731,2026-06-07,2.2731,0.0,1.0,1.0494,0.0494,2.261846,2.265295,2.2610455,0.00035400000000000015,6.6e-05,9.399999999999998e-05,-0.011254000000000097,-0.004950948044520741,-0.00780499999999984,-0.0034336368835510274,-0.012054500000000079,-0.00530311028991249
7401,Aktív hozamfigyelõ vegyes eszközalap - D,2026-06-08,0.9527,2026-06-08,0.9527,0.0,1.0,0.9976,-0.0024,0.9515920000000001,0.9428319999999999,0.9484615000000001,8.600000000000003e-05,-9.599999999999999e-05,2.1500000000000008e-05,-0.0011079999999998869,-0.0011630103915187225,-0.009868000000000099,-0.010357930093418809,-0.004238499999999923,-0.004448934606906606
7402,Euró likviditás eszközalap - D,2026-06-08,0.9234,2026-06-08,0.9234,0.0,1.0,0.9973,-0.0027,0.92318,0.922861,0.9248625000000001,-3.999999999999989e-06,-4.099999999999999e-05,-4e-06,-0.00021999999999999797,-0.00023824994585228284,-0.0005389999999999562,-0.0005837123673380508,0.0014625000000001442,0.0015838206627681874
7403,Európai ingatlancégek részv. eszközalap,2026-06-08,1.8014,2026-06-08,1.8014,0.0,1.0,0.9904,-0.0096,1.842544,1.8466200000000002,1.8616190000000001,-0.0007719999999999997,-0.000471,0.0005565,0.04114400000000007,0.022840013322971062,0.04522000000000026,0.02510269790163221,0.060219000000000245,0.03342899966692586
7404,Európai kötvény eszközalap - D,2026-06-08,1.2271,2026-06-08,1.2271,0.0,1.0,0.9932,-0.0068,1.224396,1.2235520000000002,1.229477,5.599999999999996e-05,-0.00010800000000000001,1.7999999999999984e-05,-0.0027040000000000397,-0.0022035693912476895,-0.0035479999999998846,-0.002891369896503858,0.0023769999999998515,0.0019370874419361514
7405,Európai részvény eszközalap,2026-06-08,2.9551,2026-06-08,2.9551,0.0,1.0,1.0983,0.0983,2.8808039999999995,2.8195779999999995,2.7910725000000003,0.0005100000000000001,0.000456,0.000606,-0.07429600000000036,-0.02514161957294182,-0.13552200000000036,-0.04586037697539859,-0.16402749999999955,-0.055506581841561896
7406,Európai vállalati kötvény eszközalap,2026-06-08,1.3274,2026-06-08,1.3274,0.0,1.0,1.0099,0.0099,1.324006,1.3209950000000001,1.3253015000000001,5.199999999999996e-05,1.299999999999998e-05,4.9999999999999996e-05,-0.003393999999999897,-0.002556878107578648,-0.006404999999999772,-0.004825222238963215,-0.002098499999999781,-0.001580910049721095
7407,Fejlõdõ piaci részvény ESG eszközalap-D,2026-06-08,1.3237,2026-06-08,1.3237,0.0,1.0,1.0354,0.0354,1.309834,1.256627,1.2215305,-0.0004139999999999999,-9.899999999999983e-05,0.0002225000000000001,-0.013866000000000156,-0.010475183198610074,-0.06707300000000016,-0.05067084686862594,-0.10216950000000002,-0.07718478507214627
7408,Fejlõdõ ázsiai részvény eszközalap,2026-06-08,3.2121,2026-06-08,3.2121,0.0,1.0,1.2684,0.2684,3.225148,3.035855,2.7940315000000004,-0.0007200000000000003,0.0002219999999999999,0.000734,0.013047999999999949,0.004062140033000202,-0.17624499999999976,-0.05486908875813323,-0.4180684999999995,-0.1301542604526632
